Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
690.2711464540973,0.0,500.0,0.0,1,20000,36,0.006221821531653404,0.00029949999999999996,75.88132898208517,0.0019124466541424402,-0.0040204273671524075,0.0,53.88777232170105,50.51641488075256,104.40418887138367,-6.217956638465694e-08,-7.212161978742415e-10
843.0568880743742,1.325,500.0,0.0,2,40000,36,0.00653588492423296,0.00029899999999999995,23.25916485886731,0.7638147606054312,-0.00636077951801062,0.0,50.64137864112854,56.158305644989014,106.79968523979187,-7.934570334100499e-08,1.430511542555024e-10
948.5284465540875,419.075,500.0,0.0,3,60000,36,0.008832422085106373,0.00029849999999999994,29.18075904716699,16848.646697151806,-0.009122329457801193,0.0,68.35980701446533,62.12913107872009,130.48893928527832,-2.3508071933520114e-08,8.544922138753464e-07
1203.4640029799295,2553.6499999999996,500.0,0.025,4,80000,36,0.008687624707818031,0.0002979999999999999,95.3134547303152,119644.6937292481,-0.0061370772921226,0.0,98.168612241745,122.20659804344177,220.37521362304688,-1.2617111622148514e-07,-2.9296875254658516e-06
1826.770042680359,2179.3625,500.0,0.22125,5,100000,36,0.007081929128617048,0.0002974999999999999,775.3261871297266,150777.43845776492,-0.003805617192803254,0.0,58.83947038650513,69.75630688667297,128.59577870368958,-2.6702879907247734e-09,-1.9531250927684596e-06
2026.1258039875188,3503.81375,500.0,0.26625,6,120000,36,0.007753558456897736,0.0002969999999999999,771.7743273932417,144131.0492419391,-0.005012538129070203,0.0,55.34405541419983,75.49502873420715,130.8390872478485,-4.5299529460862686e-08,2.7832031719299266e-06
2436.2067544823303,4554.12375,500.0,0.4125,7,140000,36,0.0066645280458033085,0.0002964999999999999,958.4271307942881,182186.88068300788,-0.003956030467181292,0.0,60.999796628952026,56.121277809143066,117.12107539176941,-2.70843507621521e-08,9.228515409631655e-06
2090.0962441401384,4703.7275,500.0,0.27625,8,160000,36,0.007862409576773643,0.0002959999999999999,527.0917369417997,416141.45951824303,-0.005890441247111469,0.0,67.43300008773804,65.5956392288208,133.02864265441895,-3.051757735406113e-09,8.105468623398338e-06
2564.176751088693,6654.69375,500.0,0.42874999999999996,9,180000,36,0.007244973909109831,0.00029549999999999986,821.29523078152,143114.70907704358,-0.006219208288178566,0.0,56.919676780700684,62.020363569259644,118.94004106521606,2.3508071933520114e-08,7.128906418074621e-06
3086.9927427187986,2572.81,500.0,0.625,10,200000,36,0.007681217975914478,0.00029499999999999985,686.3797268019443,137456.0319668909,-0.006293735043223409,0.0,65.12328863143921,62.833008766174316,127.95629858970642,1.2302399099439754e-08,3.3935546071006684e-06
3135.0937804570176,1494.40375,500.0,0.61875,11,220000,36,0.006196809932589531,0.00029449999999999984,627.973818188235,37886.54530160191,-0.005475736426691735,0.0,60.35662794113159,64.6652500629425,125.02187895774841,2.1457672971791908e-08,1.5136719184738467e-06
2974.583935117893,725.8399999999999,500.0,0.63625,12,240000,36,0.00786749180406332,0.00029399999999999983,497.5152297109672,1180.2645912590203,-0.007477988263869504,0.0,59.25015377998352,62.83609223365784,122.0862488746643,-1.916885317143624e-08,7.81249980263965e-07
3062.4810612550245,3499.61875,500.0,0.56125,13,260000,36,0.0073920972645282745,0.00029349999999999987,374.4481981701998,175714.1963449667,-0.006862942130344711,0.0,62.30433011054993,56.81284999847412,119.11718225479126,6.468295765671428e-08,-1.3916015632275958e-05
3481.059651185489,2948.5162499999997,500.0,0.7325000000000002,14,280000,36,0.008586518466472626,0.00029299999999999986,524.8680747874798,89726.51171756374,-0.006712146778090932,0.0,65.79342603683472,60.5435266494751,126.33695363998413,-7.247924571629483e-08,5.322265678842086e-06
3762.3849175964365,358.3375,500.0,0.8675,15,300000,36,0.007203057873994112,0.00029249999999999985,493.1860388754783,31095.38351739295,-0.00718687363451196,0.0,59.48117208480835,70.89914202690125,130.38031554222107,-8.909702131632002e-08,-1.904296823340701e-06
3900.2951922478983,2987.7525,500.0,0.8387500000000001,16,320000,36,0.00789942592382431,0.00029199999999999983,660.8155602328862,83458.0144889325,-0.006489569922454307,0.0,62.55679535865784,64.65303897857666,127.20983695983887,-2.7656554379973386e-08,8.764648555370513e-06
3976.621337611462,1195.82375,500.0,0.8575000000000002,17,340000,36,0.009150643832981586,0.0002914999999999998,424.51631712583435,134491.46738268493,-0.006877652475048177,0.0,72.41510391235352,67.63063669204712,140.045743227005,6.618499526211963e-08,1.8066406255456968e-06
3883.0639357504942,3885.4649999999992,500.0,0.8699999999999999,18,360000,36,0.008861059322953224,0.0002909999999999998,594.4245487926783,78155.48649397564,-0.006650066193509589,0.0,66.9891951084137,51.43799018859863,118.42718744277954,2.3460387410523253e-08,-4.0039062696450856e-06
4062.8107282295155,1972.65,500.0,0.9,19,380000,36,0.008434317074716091,0.0002904999999999998,452.4316907760138,150015.16505564025,-0.00754596610564886,0.0,60.6375732421875,64.54280972480774,125.18038392066956,-2.2792816523065085e-08,-6.933593795110937e-06
4262.361198622124,4450.46125,500.0,0.95,20,400000,36,0.00912688858807087,0.0002899999999999998,414.34227337429274,51616.784107066065,-0.0059471956312179995,0.0,60.552834033966064,55.609490156173706,116.16232585906982,2.5081634547063913e-08,8.837891073198989e-06
4230.5585977864075,921.5275000000001,500.0,0.9525,21,420000,36,0.008905492722988129,0.0002894999999999998,471.8430167459874,37232.950717838,-0.006791630977251292,0.0,58.601274251937866,63.021650075912476,121.62292575836182,-1.2302399099439754e-08,1.8188476360592176e-06
4415.601748719296,1920.55625,500.0,0.945,22,440000,36,0.006704363040626049,0.0002889999999999998,282.87024358811004,121399.7111142815,-0.0062390447675307005,0.0,70.75706791877747,60.06662964820862,130.8237006664276,2.2077561112610056e-08,2.050781176876626e-06
4445.837142735554,4076.31625,500.0,0.9625,23,460000,36,0.00638604536652565,0.0002884999999999998,237.28121895192572,101799.03512669117,-0.0068693958226337445,0.0,75.51545548439026,58.637794733047485,134.15325284004211,8.82148754044465e-09,-1.367187451251084e-06
4451.594754167073,1004.5,500.0,0.9649999999999999,24,480000,36,0.007790932431817055,0.0002879999999999998,142.21247777305769,29145.652345602506,-0.007503058968814745,0.0,69.94407391548157,68.99118065834045,138.9352560043335,4.911422823994371e-09,1.2329101082286797e-06
4597.2807435477935,1047.375,500.0,1.0,25,500000,36,0.007282585836946964,0.0002874999999999998,188.64004841670103,33712.964160342315,-0.005357319329789072,0.0,69.8888430595398,66.47764301300049,136.36648750305176,-2.722740255478584e-08,9.765625463842298e-07
4411.531782015799,410.8,500.0,0.9400000000000001,26,520000,36,0.009295537136495113,0.00028699999999999977,256.44250152717893,29637.606639450394,-0.005937128538756116,0.0,69.08497071266174,60.56620192527771,129.65117359161377,-2.250671471415444e-08,-1.452636752219405e-06
4472.186517068871,4293.36125,500.0,0.9775,27,540000,36,0.008432189002633095,0.00028649999999999975,290.53901619550646,164261.79153750863,-0.0056079220541798,0.0,69.62256050109863,60.97852349281311,130.60108518600464,-3.6239624634504253e-09,-1.170654286397621e-05
4502.3260936883335,2944.93875,500.0,0.9825000000000002,28,560000,36,0.008353249169886112,0.00028599999999999974,214.63340503880858,38102.42528185643,-0.0066756161065265685,0.0,62.52231240272522,58.4956169128418,121.01793050765991,-2.00271599304358e-09,5.37109372089617e-07
4313.411698634353,4123.31875,500.0,0.93625,29,580000,36,0.010174315422773361,0.00028549999999999973,446.55099024178503,118480.90159181724,-0.0062850889547162335,0.0,61.773054122924805,61.911444664001465,123.68450093269348,-3.051757735406113e-09,-2.5390625069121597e-06
3909.1686515733345,557.93125,500.0,0.8487500000000001,30,600000,36,0.009111233055591583,0.0002849999999999997,335.14179827331606,467.4276636995066,-0.007627510071844841,0.0,72.15208148956299,67.32272839546204,139.47481155395508,5.912780931538464e-09,-8.544921570319275e-08
4381.517747053552,3081.075,500.0,0.9649999999999999,31,620000,36,0.007726501673460007,0.0002844999999999997,371.0885057283455,64175.46000010281,-0.005638680375460668,0.0,67.57888793945312,64.60125732421875,132.18014645576477,1.430511542555024e-10,-4.858398369833594e-06
