Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Loss/Loss_safety,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-640.9966248745358,0.0,1000.0,0.0,1,20000,36,0.011407023295760155,0.00029925,28.898773391999207,0.0037616281233861662,-0.012033509428238144,0.0,0.0,11.089780807495117,56.20687437057495,67.29665851593018,7.400512913591228e-08,-1.6570090854983732e-09
-643.3641440572758,0.0,1000.0,0.0,2,40000,36,0.009659387171268463,0.0002985,27.928835425471686,0.0004944119793321383,-0.011028099890826763,0.0,0.0,11.017274141311646,50.92039704322815,61.93767309188843,-1.1129379373642223e-07,-1.7240643357396834e-09
-584.2366247230987,0.0,1000.0,0.0,3,60000,36,0.011516531929373741,0.00029775,31.847990885329324,0.00035413055520285355,-0.012134594392565529,0.0,0.0,11.714805126190186,55.98247480392456,67.69728231430054,2.8514861583062157e-08,-1.5795230678961047e-09
-526.4778592387596,0.0,1000.0,0.0,4,80000,36,0.010410290211439133,0.000297,30.090988800209974,0.00027504221802621966,-0.012495162992977548,0.0,0.0,11.535369634628296,55.339335918426514,66.87470722198486,-4.730224745230771e-08,-4.2170286707055027e-10
-501.5296865600526,0.0,1000.0,0.0,5,100000,36,0.011740944348275661,0.00029625,31.80061681312071,0.00020672008293300606,-0.013350060807598374,0.0,0.0,11.26781415939331,51.29077434539795,62.55859088897705,3.867149445113682e-08,1.063942933754447e-09
-483.595052119719,0.04500000000000001,1000.0,0.0,6,120000,36,0.011696887202560902,0.0002955,28.13572029336192,0.000583274499564608,-0.014202874577526541,0.0,0.25,11.191522359848022,50.65779185295105,61.84931492805481,-2.9373168786150927e-08,-4.291534350109316e-10
-457.4292849229564,0.005,1000.0,0.0,7,140000,36,0.014086615294218063,0.00029475000000000004,24.452204407806043,6.751520726168086e-05,-0.016254992564977883,0.0,0.0,12.1541748046875,54.35105586051941,66.50523209571838,7.057189943537878e-09,-1.6205012332015656e-10
-400.43774586719803,0.0,1000.0,0.0,8,160000,36,0.013721104711294174,0.00029400000000000004,25.305673648077924,3.025824312416406e-06,-0.0157686378225786,0.0,0.0,12.026337146759033,48.748828172683716,60.77516794204712,4.959106458812812e-09,4.697591204916307e-10
-345.6632517269329,0.0,1000.0,0.0,9,180000,36,0.015078999102115631,0.00029325000000000005,20.977529717244956,2.101154356376066e-06,-0.01738710613030048,0.0,0.0,12.047552824020386,53.373390197753906,65.42094540596008,-8.440017573718706e-09,7.051974559857399e-10
-350.5875578700399,0.0,1000.0,0.0,10,200000,36,0.01439753919839859,0.00029250000000000006,21.63881135113831,1.4672186487392323e-06,-0.016766121534174085,0.0,0.0,11.7086021900177,55.71913504600525,67.42773818969727,-9.346008411625917e-09,1.3969838619232178e-09
-285.4176616870626,0.0,1000.0,0.0,11,220000,36,0.015120579861104488,0.00029175000000000007,22.235749454586312,1.0236410287155624e-06,-0.016334865492285734,0.0,0.0,11.288816213607788,48.92461562156677,60.21343278884888,1.1825561863076928e-08,4.3138861927083383e-10
-267.74221867293153,0.0,1000.0,0.0,12,240000,36,0.016289303079247475,0.0002910000000000001,25.12403812085139,7.100508514151461e-07,-0.017340665276667826,0.0,0.0,13.643070220947266,51.67228436470032,65.3153555393219,1.5687943388797976e-08,-1.396983917434369e-10
-234.5597426278483,0.0,1000.0,0.0,13,260000,36,0.016419436782598495,0.0002902500000000001,23.66069027672518,4.940444168933458e-07,-0.019643296627610884,0.0,0.0,11.687265872955322,57.63162136077881,69.31888842582703,2.9754637864698452e-08,9.126960992533739e-11
-190.72224123257246,0.025,1000.0,0.0,14,280000,36,0.01881248876452446,0.0002895000000000001,17.583742231225816,0.00043294020434143037,-0.020217359206083974,0.0,0.25,11.418138980865479,47.97595167160034,59.394092321395874,1.2636184543168838e-08,-9.536742923144104e-11
-157.5239889508672,0.05000000000000001,1000.0,0.0,15,300000,36,0.016888700425624847,0.0002887500000000001,25.317351597989752,0.00043270747953624215,-0.01802246671634583,0.0,0.25,11.821057796478271,49.28459882736206,61.105658531188965,1.6498566068889886e-08,-1.3336538817743104e-10
-112.24741014073557,0.05250000000000001,1000.0,0.0,16,320000,36,0.017786536365747452,0.0002880000000000001,23.208253279703918,0.0004323422604707009,-0.020180063984642137,0.0,0.25,12.396917581558228,49.237329959869385,61.6342499256134,1.525878978725359e-08,-2.9802321634825324e-12
-66.57082966282304,0.15749999999999997,1000.0,0.0,17,340000,36,0.01926925778388977,0.0002872500000000001,22.892859996528884,0.003127817993658893,-0.02035271559190602,0.0,1.25,12.025540828704834,55.61935210227966,67.64489579200745,-2.4223327343975143e-08,-1.1324882143171067e-09
12.468158774189167,0.19249999999999998,1000.0,0.0,18,360000,27,0.020012082532048225,0.00028650000000000013,33.42646070339739,0.0024873921864072297,-0.017674132691183952,0.0,1.0,12.77822756767273,39.7017924785614,52.480021953582764,1.0871887390351276e-08,-2.0414590851114411e-10
109.08849533975089,0.6025,1000.0,0.0,19,380000,30,0.02032650075852871,0.00028575000000000014,33.752115193977396,0.009295929660845947,-0.018702349786624845,0.0,3.0,11.339428901672363,40.68523836135864,52.02466917037964,4.310608048285758e-08,1.8537044121913482e-09
126.34216449737589,0.27749999999999997,1000.0,0.0,20,400000,33,0.020167022943496704,0.00028500000000000015,30.451126516055755,0.0027616891429481246,-0.019717887398507418,0.0,1.5,11.31120753288269,45.09525394439697,56.40646243095398,-4.3678284100678866e-08,-1.4603138143165495e-10
220.25261674235216,0.5824999999999998,1000.0,0.0,21,420000,29,0.020064907148480415,0.00028425000000000016,36.160326775309926,0.006471871875534388,-0.01949891509905612,0.0,3.5,11.24926471710205,46.65748143196106,57.90674710273743,2.808570798151777e-08,1.0192394706010077e-09
288.66157111410394,1.1649999999999998,1000.0,0.0,22,440000,27,0.020834602415561676,0.00028350000000000017,43.28369833305593,0.02461612652952993,-0.017390263030559412,0.0,8.25,11.092965602874756,42.448952198028564,53.54191851615906,6.141662822756189e-08,-3.9577483512687195e-09
423.68402171175865,2.3975,1000.0,0.0,23,460000,30,0.020525919273495674,0.0002827500000000002,52.70512105557865,0.040391853910695295,-0.01925161161682647,0.0,14.0,12.146769762039185,43.21707010269165,55.36384057998657,-4.291534239087014e-09,-3.278255444882916e-10
452.3874713565045,3.7599999999999993,1000.0,0.0,24,480000,28,0.02037186548113823,0.0002820000000000002,45.84786042531621,0.11735440721887958,-0.01957399245744315,0.0,30.5,11.336517810821533,37.4606876373291,48.79720616340637,-2.0503998499066256e-08,1.0991096921486587e-08
522.6867535718571,5.949999999999999,1000.0,0.0,25,500000,24,0.02027813158929348,0.0002812500000000002,46.029184737017616,0.07154801510982572,-0.01742430357377172,0.0,25.0,11.084208965301514,31.867633819580078,42.95184516906738,-4.76837147544984e-09,-8.821487429422348e-10
638.7877708596162,7.6125,1000.0,0.0,26,520000,19,0.02045084908604622,0.0002805000000000002,58.18555089047081,0.14562197037671362,-0.016211213401697448,0.0,42.5,10.85312533378601,23.74154758453369,34.59467363357544,4.558563304613017e-08,9.179115245672165e-10
750.5653188023487,9.709999999999999,1000.0,0.0,27,540000,30,0.020940687507390976,0.0002797500000000002,69.2434247539955,0.1677090649299633,-0.016771675005512503,0.0,54.25,11.965666770935059,42.05078172683716,54.01644945144653,-5.912780931538464e-09,-5.0783155458589135e-09
883.295891514818,11.7225,1000.0,0.0,28,560000,20,0.020546916872262955,0.0002790000000000002,68.53831166489817,0.2451671225819201,-0.015780526677633043,0.0,67.5,10.806020736694336,27.24192476272583,38.04794669151306,1.8119811429073707e-08,-1.3351439953623867e-09
905.0978863995491,14.1725,1000.0,0.0,29,580000,18,0.020851053297519684,0.00027825000000000023,61.91252247983359,0.26858426511742606,-0.015818670042831797,0.0,72.75,10.991969585418701,24.285648345947266,35.27761888504028,1.7929076889799944e-08,8.988380706398402e-09
939.2278173164425,16.6875,1000.0,0.0,30,600000,22,0.020222390070557594,0.00027750000000000024,64.09778661448146,0.3988286477808183,-0.015594227710290294,0.0,104.25,10.974482297897339,30.389835357666016,41.36431884765625,-1.7166136956348055e-08,9.536743617033494e-10
1083.331698194539,26.119999999999997,1000.0,0.0,31,620000,13,0.02087867073714733,0.00027675000000000025,63.145372404575234,0.536956710658984,-0.01384779861883294,0.0,142.0,11.118228912353516,16.061689138412476,27.179919481277466,-1.2588500908350397e-08,2.1266936656161306e-08
1173.5843842696377,33.144999999999996,1000.0,0.0,32,640000,20,0.02393581159412861,0.00027600000000000026,67.61332014894333,0.6614251373056025,-0.014902364922919497,0.0,188.25,11.229485750198364,26.032421350479126,37.261908769607544,6.27517735551919e-08,-2.5367736355974557e-08
1218.2400567815803,38.01,1000.0,0.0,33,660000,9,0.02074170671403408,0.00027525000000000027,63.21428924305963,0.7694796218404881,-0.009987376531619773,0.0,186.25,10.807880640029907,11.300580978393555,22.108462810516357,3.433227391269611e-08,5.698204130766271e-09
