Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-640.9966248745358,0.0,1000.0,0.0,1,20000,36,0.011407023295760155,0.00029925,28.898773391999207,0.0037616281233861662,-0.012033509428238144,0.0,10.942814826965332,53.54635405540466,64.48917055130005,7.400512913591228e-08,-1.6570090854983732e-09
-643.3641440572758,0.0,1000.0,0.0,2,40000,36,0.009659387171268463,0.0002985,27.928835425471686,0.0004944119793321383,-0.011028099890826763,0.0,11.300781726837158,50.66295266151428,61.96373534202576,-1.1129379373642223e-07,-1.7240643357396834e-09
-584.2366247230987,0.0,1000.0,0.0,3,60000,36,0.011516531929373741,0.00029775,31.847990885329324,0.00035413055520285355,-0.012134594392565529,0.0,11.579635381698608,54.952629804611206,66.53226828575134,2.8514861583062157e-08,-1.5795230678961047e-09
-526.4778592387596,0.0,1000.0,0.0,4,80000,36,0.010410290211439133,0.000297,30.090988800209974,0.00027504221802621966,-0.012495162992977548,0.0,11.293875932693481,55.75316047668457,67.04703736305237,-4.730224745230771e-08,-4.2170286707055027e-10
-501.5296865600526,0.0,1000.0,0.0,5,100000,36,0.011740944348275661,0.00029625,31.80061681312071,0.00020672008293300606,-0.013350060807598374,0.0,12.096734046936035,55.894489765167236,67.9912257194519,3.867149445113682e-08,1.063942933754447e-09
