Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LagragianMultiplier,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-479.36579143954884,1.5112744243096126,156.5416796776572,0.0,1,20000,40,0.01698620617389679,0.0,0.00029925,238.46446050942515,0.3938833552466247,-0.025006107069621124,15.229671955108643,59.68772029876709,74.91739535331726,5.350112886048919e-08,6.38961772381208e-09
-379.57844721385356,0.9164429530201341,132.57348993288588,0.0,2,40000,40,0.018616637215018272,0.0,0.0002985,239.73685585850725,0.22787694199406466,-0.023188053804245917,15.007371187210083,57.514572858810425,72.5219452381134,-1.910209590505474e-07,1.3828277412031298e-09
-406.63885367347524,0.6848484848484849,150.50871212121214,0.0,3,60000,38,0.020486950874328613,0.0,0.00029775,268.67583075703465,0.13964745910421367,-0.02664720136968631,14.897257328033447,58.73447918891907,73.63173747062683,-8.349418578745826e-08,6.198883073516015e-10
-302.49340626494,0.9353448275862071,118.68936781609193,0.0,4,80000,31,0.020129945129156113,0.0,0.000297,384.3743417537988,0.29531623315924954,-0.025973098658857052,15.085753917694092,43.410808801651,58.49656343460083,4.577636936176077e-09,3.600120646041205e-09
-294.8977774157567,1.1140522875816992,124.4549019607843,0.0,5,100000,23,0.020210029557347298,0.0,0.00029625,342.08764586863975,0.41332578463659697,-0.023219692037056743,16.244306087493896,36.009822607040405,52.25412964820862,-3.0994415922691587e-09,7.867813067718998e-10
-296.62772108057686,0.7428571428571429,126.77589285714285,0.0,6,120000,20,0.020697176456451416,0.0,0.0002955,436.14833119547785,0.24501765594243433,-0.021538174456058327,15.376088857650757,27.609484672546387,42.98557472229004,2.4461746406245766e-08,9.536742923144104e-11
-251.0053385058266,0.7371428571428571,114.48971428571431,0.0,7,140000,19,0.020456023514270782,0.0,0.00029475000000000004,414.02095219297973,0.22419814897188423,-0.024285475249640733,15.70071029663086,24.95383095741272,40.654541969299316,1.926422044107312e-08,-2.2649764286342133e-09
-230.8205310713595,0.9093406593406593,110.21868131868132,0.0,8,160000,17,0.020485064014792442,0.0,0.00029400000000000004,454.1830168352878,0.24554913772525275,-0.02151137185792336,15.146350622177124,22.23185634613037,37.37820768356323,-1.287460360543946e-09,3.337859988405967e-10
-261.2096490070415,0.7721854304635762,131.70298013245034,0.0,9,180000,14,0.020686432719230652,0.0,0.00029325000000000005,367.7390447291867,0.21280634790635147,-0.021594756564791925,15.009461879730225,17.840093851089478,32.84955644607544,2.2888184680880386e-09,-8.106231796922714e-10
-222.14467945214136,0.9729411764705883,115.69823529411767,0.0,10,200000,11,0.020374132320284843,0.0,0.00029250000000000006,398.22940068351573,0.26993526356100533,-0.018211469058550065,15.05211067199707,14.094869136810303,29.14698076248169,-1.5735626135437997e-09,7.15255771277512e-11
-178.14104022654556,1.0992753623188407,99.11763285024156,0.0,11,220000,11,0.02009372040629387,0.0,0.00029175000000000007,397.3702826188326,0.45686549424147005,-0.019041932225438343,15.111551284790039,14.158049821853638,29.269602060317993,-1.3351439953623867e-09,-1.7881393032936899e-09
-202.4879033540369,0.9487730061349695,119.54110429447853,0.0,12,240000,11,0.020378338173031807,0.0,0.0002910000000000001,381.9641459739523,0.41241976086536086,-0.017776473020258865,16.290836095809937,13.972235918045044,30.26307702064514,-7.2479249269008506e-09,1.0967254882032762e-09
-167.6976006985999,1.1007894736842108,101.21631578947368,0.0,13,260000,12,0.021850332617759705,0.0,0.0002902500000000001,339.7104986249702,0.4713422422345898,-0.020040483055145334,15.312574863433838,15.54981541633606,30.862390995025635,2.813339339269305e-09,-8.583068700218632e-10
-159.19301169676305,0.9965686274509804,101.83480392156862,0.0,14,280000,9,0.02168022096157074,0.0,0.0002895000000000001,321.8022260926571,0.4123969469120264,-0.01586821765159837,14.832240104675293,11.463621139526367,26.295862197875977,-3.051757735406113e-09,2.861023085110048e-10
-146.9508353980376,1.0193627450980391,100.28676470588235,0.0,15,300000,8,0.020266154780983925,0.0,0.0002887500000000001,294.3464147092435,0.384525872488765,-0.01589586300198539,15.181384563446045,9.940469980239868,25.121855974197388,-7.20024129208241e-09,-9.536742923144104e-11
-146.00981198828532,1.1612021857923498,104.36639344262296,0.0,16,320000,10,0.020611504092812538,0.0,0.0002880000000000001,260.32768048173705,0.3899669535553303,-0.020133638366559944,15.003802061080933,13.063883543014526,28.067686557769775,1.0681151962899094e-08,3.051757735406113e-09
-131.36629730546892,1.0633663366336634,99.68069306930693,0.0,17,340000,11,0.023406116291880608,0.0,0.0002872500000000001,266.75535331546587,0.40089243414346265,-0.019795665853271912,15.063204050064087,13.835586071014404,28.898791074752808,-4.673004205812958e-09,5.722046170220096e-10
-107.89305889586824,1.120083682008368,85.80962343096235,0.0,18,360000,11,0.020622652024030685,0.0,0.00028650000000000013,252.04514612114224,0.43324913146396793,-0.018393901632876915,14.755024671554565,13.79119610786438,28.54622197151184,-4.673004205812958e-09,9.059906158626063e-10
-74.43806387302529,0.7739583333333333,64.05034722222223,0.0,19,380000,10,0.020441150292754173,0.0,0.00028575000000000014,252.5971594594157,0.47600947650024494,-0.019035299996489854,14.964234352111816,12.973570108413696,27.937806367874146,1.7738342350526182e-08,3.910064716450279e-09
-104.45359869276126,1.1757383966244728,87.334388185654,0.0,20,400000,11,0.020645083859562874,0.0,0.00028500000000000015,227.4137196869065,0.578841565865531,-0.0202673820206896,16.56664538383484,13.762434959411621,30.329081773757935,2.574920721087892e-09,4.959106458812812e-09
-99.02873118341988,0.933898305084746,89.53622881355933,0.0,21,420000,8,0.021354923024773598,0.0,0.00028425000000000016,201.6663560364574,0.4199430552584985,-0.016625360302986374,14.984591960906982,9.991803646087646,24.976396322250366,-7.0095063087194376e-09,-7.152557435219364e-10
-102.35530809251254,0.97015306122449,101.47321428571429,0.0,22,440000,8,0.02116767317056656,0.0,0.00028350000000000017,169.35412812156798,0.30457162784305386,-0.018110235128979444,15.101857662200928,10.432185173034668,25.534043788909912,-9.775162013170302e-09,3.8146971692576415e-10
