Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-640.9966248745358,0.0,1000.0,0.0,1,20000,44,0.009601869620382786,0.00029925,40.219156623023835,0.006041197230829349,-0.012001394394910289,10.85951018333435,28.24203872680664,39.10155200958252,7.400512913591228e-08,-1.6570090854983732e-09
-648.0772302535254,0.03500000000000001,1000.0,0.0,2,40000,44,0.009400429204106331,0.0002985,33.19033614126805,0.0009760936708243802,-0.011668078073003555,11.506781816482544,30.18102216720581,41.68780541419983,1.224517802711489e-07,7.092952891696314e-10
-589.5547986458039,0.015000000000000003,1000.0,0.0,3,60000,44,0.008966756984591484,0.00029775,33.1048132736746,0.000358340554946757,-0.011423175694459515,11.935954332351685,32.06281900405884,43.99877643585205,-5.929469892862471e-08,9.14186226719238e-10
-547.8183374734054,0.0,1000.0,0.0,4,80000,44,0.00884330179542303,0.000297,27.239581213721745,0.00030030431918660823,-0.01225842154151851,11.510457754135132,26.08568835258484,37.59614706039429,2.0599365768703137e-08,1.0877847927970308e-10
-515.9926332115369,0.0,1000.0,0.0,5,100000,44,0.010402046144008636,0.00029625,24.5488122796299,0.0002203813730921584,-0.013678821087565693,13.756500482559204,26.13007378578186,39.886576890945435,3.8003921787321815e-08,5.066394873076696e-11
-495.45436215517304,0.0,1000.0,0.0,6,120000,44,0.010155760683119297,0.0002955,20.1607600040348,0.0001500498831861034,-0.013894211579654344,11.422181606292725,27.1541965007782,38.57637929916382,1.125335735707722e-08,-6.854534301270476e-11
-447.09576161955584,0.01,1000.0,0.0,7,140000,44,0.010357542894780636,0.00029475000000000004,26.600817429045403,0.00048672336284732824,-0.014190590385534083,11.658786296844482,30.173141717910767,41.831929445266724,1.9359589487066842e-08,-3.8594008544556857e-10
-409.2836709018135,0.04,1000.0,0.0,8,160000,44,0.010324724949896336,0.00029400000000000004,25.95722215963041,3.304345785041027e-06,-0.014383216726047632,12.660841226577759,28.457473754882812,41.118316650390625,7.820129432900558e-09,3.542751092489027e-10
-366.6373666796977,0.0,1000.0,0.0,9,180000,44,0.011071219108998775,0.00029325000000000005,25.442473512250068,2.25902342901277e-06,-0.01417130723353679,11.903812408447266,28.86289095878601,40.76670432090759,1.0490417423625331e-08,-1.5065073633024895e-09
-340.52020134045694,0.0,1000.0,0.0,10,200000,44,0.011716204695403576,0.00029250000000000006,18.992543838652423,1.5620071170317027e-06,-0.014758105796021789,11.671931982040405,28.38926410675049,40.061198711395264,-1.9025803155159338e-08,-5.915761214225768e-10
-303.07232249859777,0.0,1000.0,0.0,11,220000,44,0.012460640631616116,0.00029175000000000007,19.957678013758773,1.08333991362536e-06,-0.017211530084277785,11.97176718711853,27.89118242263794,39.862950563430786,1.7356873271978657e-08,2.0712613568729665e-10
-270.084258747745,0.03250000000000001,1000.0,0.0,12,240000,44,0.01173113752156496,0.0002910000000000001,20.179848911435748,0.0004007758886993144,-0.01554289648901608,13.133929967880249,27.527597427368164,40.66152858734131,1.239776614703203e-09,9.298324332718266e-10
