Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-488.8579947162367,1.493620562857263,159.58469235829858,0.0,1,20000,35,0.017151448875665665,0.00029925,258.51273504942316,0.34455232327826923,-0.023851939801544136,0.0,16.52074646949768,75.65124821662903,92.17199754714966,-1.3775824925232882e-07,1.0585784693262212e-08
-474.1593519743145,1.0304166666666665,164.14541666666668,0.0,2,40000,35,0.015862787142395973,0.0002985,210.05494212747328,0.2528386334526055,-0.02171718621371881,0.0,18.680739402770996,79.49505639076233,98.17579698562622,1.5988349844064942e-07,1.7166137400437265e-09
-302.61847085744523,1.2095360824742267,112.83582474226804,0.0,3,60000,35,0.016449471935629845,0.00029775,348.27870878413734,0.4894915199759941,-0.022022249064965506,0.0,19.07724118232727,81.65050411224365,100.72774648666382,3.991127073277312e-08,2.3484230116110894e-09
-324.90051694645996,0.8875796178343949,127.06050955414013,0.0,4,80000,35,0.019107744097709656,0.000297,347.1814490335274,0.21754030213525094,-0.024035701198743112,0.0,22.745514392852783,79.66504669189453,102.41056418418884,8.201599399626502e-09,1.3828277412031298e-09
-389.2315350310251,0.6024793388429752,159.4095041322314,0.0,5,100000,24,0.020033447071909904,0.00029625,311.652156014285,0.10317067453251899,-0.023321056713622744,0.0,24.643110990524292,39.74521327018738,64.38832545280457,-2.00271599304358e-09,-2.241134611224993e-09
-346.5496768462093,0.7714814814814815,149.77481481481482,0.0,6,120000,20,0.02017638459801674,0.0002955,318.28397873521993,0.18940217642428966,-0.022597043072773566,0.0,20.280055284500122,41.76233434677124,62.042391300201416,-2.70843507621521e-08,-1.430511542555024e-10
-222.86426550441888,1.142741935483871,103.86021505376344,0.0,7,140000,18,0.02019973285496235,0.00029475000000000004,410.92503255777086,0.44095747980970545,-0.020747401330507315,0.0,19.48015594482422,33.30812358856201,52.788281202316284,-5.340575981449547e-09,2.336502102906479e-09
-292.08685222427033,1.3254901960784313,139.90653594771243,0.0,8,160000,16,0.020361486822366714,0.00029400000000000004,328.2225556449768,0.3843336773436731,-0.02008936467007533,0.0,19.825729846954346,30.3240807056427,50.14981150627136,9.53674295089968e-09,0.0
-189.21216489829754,0.9937185929648241,93.57462311557788,0.0,9,180000,16,0.021342327818274498,0.00029325000000000005,400.3821129677014,0.45180067474903246,-0.021982093773463877,0.0,22.05339550971985,31.467012882232666,53.520410776138306,4.1961669694501325e-09,7.39097616442308e-10
-183.90496019892657,0.7408878504672898,95.68084112149533,0.0,10,200000,12,0.020917050540447235,0.00029250000000000006,408.1103218228926,0.35435473155904723,-0.01812836551789345,0.0,19.071178913116455,27.23254370689392,46.30372381210327,-3.6239624634504253e-09,-4.0292738034963804e-09
-225.66267659581746,1.11025641025641,125.08814102564102,0.0,11,220000,10,0.020113611593842506,0.00029175000000000007,315.1829779091735,0.27421743770638785,-0.016640784752056055,0.0,20.94739317893982,18.575570106506348,39.52296447753906,1.0776520120714395e-08,-2.6226043559063328e-09
-188.3117755189141,0.9534825870646765,107.26666666666667,0.0,12,240000,13,0.021097011864185333,0.0002910000000000001,355.7009473225501,0.44088694111563764,-0.02055775751523984,0.0,22.641950845718384,30.20833659172058,52.85028910636902,-2.336502102906479e-09,8.583068700218632e-10
-134.52961847261543,1.061228813559322,82.83177966101695,0.0,13,260000,13,0.02054877206683159,0.0002902500000000001,351.9269461229821,0.6302762877852508,-0.019661986558078076,0.0,24.084373712539673,24.776913166046143,48.86128807067871,6.270408636765978e-09,-4.482269222449986e-09
-150.08289938891616,1.065228426395939,97.33172588832488,0.0,14,280000,3,0.020158221945166588,0.0002895000000000001,311.24878778752174,0.41765152428922053,-0.004964769464799454,0.0,25.338728666305542,7.71899676322937,33.05772829055786,1.2922287240257901e-08,-1.4305114870438729e-09
-160.17386363852847,1.0701030927835053,109.56082474226805,0.0,15,300000,12,0.02043832652270794,0.0002887500000000001,273.08886961484995,0.41259310659937587,-0.019917889354297745,0.0,19.74315881729126,23.431514739990234,43.17467498779297,-2.574920721087892e-09,-7.152557435219364e-10
-93.93022540044906,0.9901006711409396,66.49060402684563,0.0,16,320000,13,0.02163795754313469,0.0002880000000000001,346.84759300046306,0.5826004115742411,-0.0203550426414409,0.0,20.23761510848999,26.054176092147827,46.29179239273071,1.039505015398845e-08,9.536743617033494e-10
-122.74987335496616,1.0760180995475113,90.70610859728508,0.0,17,340000,11,0.021411748602986336,0.0002872500000000001,232.40174266760894,0.46149104992114387,-0.018656641191262195,0.0,19.586950302124023,19.843558311462402,39.4305100440979,2.307891833197573e-08,-9.775161791125697e-10
-117.89226828880007,0.9751196172248804,90.12846889952152,0.0,18,360000,11,0.021529871970415115,0.00028650000000000013,229.06382972169953,0.451267520056114,-0.020135300854751702,0.0,23.97792673110962,27.18366527557373,51.161593437194824,1.7833709620163063e-08,-4.053115898461357e-10
-161.4336636140074,1.0273584905660378,130.94811320754718,0.0,19,380000,2,0.020333215594291687,0.00028575000000000014,180.33767547851173,0.35437435985278015,-0.002389595985186462,0.0,21.314297914505005,3.454540252685547,24.768839597702026,-3.051757957450718e-08,4.291534350109316e-10
-89.75800038186637,1.3564777327935222,81.54797570850202,0.0,20,400000,9,0.02104971930384636,0.00028500000000000015,221.08892854494874,0.6910164298943945,-0.0164683328865094,0.0,18.958568334579468,15.500915765762329,34.45948529243469,2.38418573772492e-09,2.205371857355587e-10
-114.02348582608421,1.1774285714285713,105.20028571428571,0.0,21,420000,7,0.020446177572011948,0.00028425000000000016,174.35611173280674,0.4736163672680373,-0.01491828105913578,0.0,19.185885906219482,12.476552724838257,31.662440538406372,1.6689301052252858e-09,4.768371461572052e-11
-71.95669827577501,0.8813148788927335,72.7506920415225,0.0,22,440000,6,0.020382391288876534,0.00028350000000000017,195.86259167542218,0.47102471670340174,-0.012000533683211627,0.0,19.48280143737793,10.922951698303223,30.405754327774048,2.39372255350645e-08,-3.1471252270875993e-09
-86.25534073753424,0.9251184834123222,89.0170616113744,0.0,23,460000,10,0.020333927124738693,0.0002827500000000002,153.03325761057698,0.4349902679007084,-0.020331100858569432,0.0,19.311912775039673,18.620692491531372,37.9326069355011,8.77380390562621e-09,-2.145767175054658e-10
-71.08346692564874,1.0143115942028984,77.3998188405797,0.0,24,480000,9,0.022899771109223366,0.0002820000000000002,154.8931911022984,0.48675271406119114,-0.01832294660533772,0.0,18.93443775177002,15.73356008529663,34.667999505996704,-3.3855438452690123e-09,5.722046170220096e-10
