Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LagragianMultiplier,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
306.4268284405396,893.8909880383862,500.0,1,20000,40,0.01244746521115303,0.0,0.00029959999999999996,4.779606448403134,62949.24127276832,-0.003595239608180367,47.67031908035278,50.30168628692627,97.97200655937195,-4.6806334808024985e-07,3.295898522992502e-06
313.51116760192656,2186.649007220746,500.0,2,40000,40,0.005434900522232056,0.02577197551727295,0.00029919999999999995,1.0729893648574431,123684.02602883086,-0.013367753459241825,48.36208724975586,49.917715549468994,98.27980375289917,-7.139205990824848e-07,-9.515380952507257e-06
314.9526766825529,2998.7760000000003,500.0,3,60000,40,0.004946696572005749,0.055570196360349655,0.00029879999999999994,0.5400520109758972,104126.5872304569,-0.11009579759757644,48.31931781768799,50.24333214759827,98.56265091896057,-4.948139462612744e-07,-5.761718966823537e-06
317.3140003300709,1643.8905,500.0,4,80000,40,0.005491285119205713,0.08610815554857254,0.00029839999999999993,0.37480798117852154,18456.67703440852,-0.05214228232230503,48.79321265220642,50.980748891830444,99.77396249771118,9.305000503445626e-07,-4.272461069376732e-07
319.6560124940131,406.0435,500.0,5,100000,40,0.009948497638106346,0.11360888928174973,0.0002979999999999999,0.33271815280932876,572.7066088045748,-0.04029354652071509,48.34676194190979,50.850486278533936,99.19724941253662,-5.90753529650101e-07,-1.647949261496251e-07
317.18568151982583,22.7505,500.0,6,120000,40,0.009773094207048416,0.1373007595539093,0.0002975999999999999,0.18999852955924532,197.0171398991594,-0.03863437647362963,48.55550169944763,50.459925413131714,99.01542782783508,-4.7311783646364347e-07,3.0517577442878974e-07
319.1934027360973,0.027000000000000003,500.0,7,140000,40,0.009095278568565845,0.15788066387176514,0.0002971999999999999,0.12860962718415755,128.70726888857712,-0.029513863336068754,48.44909858703613,50.51541876792908,98.96451807022095,4.114151010981004e-07,-3.814697322468419e-07
319.21087439472547,0.0,500.0,8,160000,40,0.009461970068514347,0.1759149581193924,0.0002967999999999999,0.14154308433064255,86.87345511616229,-0.0323903862819873,48.571778774261475,51.131468534469604,99.7032482624054,-1.1425018442423607e-07,-1.3580321933659434e-07
318.5471458551862,0.162,500.0,9,180000,40,0.010842427611351013,0.1918187290430069,0.0002963999999999999,0.5627573281687241,62.43452048941542,-0.04123534992044887,48.52447199821472,50.44397854804993,98.96845149993896,7.410049107647865e-08,8.97216807516088e-07
320.9921983996848,2.16,500.0,10,200000,40,0.010394325479865074,0.20591595768928528,0.0002959999999999999,0.13065162496373486,85.50011609903159,-0.0332318767862091,48.560651540756226,50.95687913894653,99.51753211021423,3.240585328967427e-07,-3.051757735406113e-09
321.5510220758891,0.378,500.0,11,220000,40,0.009880401194095612,0.21844610571861267,0.00029559999999999987,0.11275762013983898,37.54895420485792,-0.02845081133253206,48.63977074623108,51.6421263217926,100.281898021698,-5.329131909093121e-07,1.205444277729839e-07
319.97226305872255,0.0,500.0,12,240000,40,0.010642576962709427,0.22960732877254486,0.00029519999999999986,0.10370930416789204,33.961194320227776,-0.026417926590281207,48.813568353652954,50.70419883728027,99.51776814460754,2.333641049290236e-07,-3.814697180359872e-08
319.9740815152977,0.0,500.0,13,260000,40,0.010967769660055637,0.2395639717578888,0.00029479999999999985,0.10734347755880877,32.85489786874753,-0.028601641913640875,48.993019580841064,49.17174196243286,98.16476225852966,-4.339218051541138e-08,-1.2741088539769407e-07
319.0990327349629,0.0,500.0,14,280000,40,0.011437945999205112,0.24845337867736816,0.00029439999999999984,0.11260658266921393,45.42296893901337,-0.031044550902119425,48.93239116668701,49.061522483825684,97.99391508102417,5.903244115756934e-08,-6.866454782539222e-08
319.5440878838409,0.0,500.0,15,300000,40,0.013354867696762085,0.2563919425010681,0.00029399999999999983,0.9277330312139976,48.491072041462786,-0.041130581150908535,48.94967174530029,50.262362480163574,99.21203541755676,-1.1706352331941616e-08,-5.462646299747576e-07
317.2948447092159,141.939,500.0,16,320000,40,0.008500040508806705,0.26408231258392334,0.0002935999999999998,0.16907471629222648,30384.43687473029,-0.21514408821686387,49.00712060928345,50.422451972961426,99.42957353591919,-3.757476818577743e-08,-3.906249901319825e-07
