Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/NominalEvalEpRet,Metrics/NominalEvalEpCost,Metrics/NominalEvalEpLen,Metrics/LegEvalEpRet,Metrics/LegEvalEpCost,Metrics/LegEvalEpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Time/Rollout,Time/Eval,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-639.1377443139875,0.0,1000.0,-171.93754436996088,0.0,1000.0,-49.71334196516844,0.0,1000.0,1,20000,40,0.013441167771816254,0.00029699999999999996,21.162990157787032,0.002557026041546478,-0.013272090389124734,0.0,6.131912469863892,0.8701901435852051,50.03418207168579,57.03628492355347,2.1200179389779805e-07,-8.821487429422348e-10
-626.6758460409096,0.0,1000.0,-317.78706558548987,0.0,1000.0,-15.724663380868588,0.0,1000.0,2,40000,40,0.011576061137020588,0.000294,31.27133342930303,0.0003240840208523099,-0.01409342682365471,0.0,7.6007091999053955,0.8986222743988037,51.29977011680603,59.799102544784546,8.993148981062404e-08,-1.1816621015015016e-09
-593.8150058757521,0.0,1000.0,-152.7907685794767,0.0,1000.0,-62.44199900140652,0.0,1000.0,3,60000,40,0.016150599345564842,0.00029099999999999997,32.83374092594122,0.00024558740835183094,-0.01724836379486752,0.0,8.724711656570435,0.9120240211486816,52.69205904006958,62.328794956207275,-7.2479249269008506e-09,3.0428171093888068e-09
-544.234430173786,0.0,1000.0,-124.81733979046784,0.0,1000.0,-61.8354393508863,0.0,1000.0,4,80000,40,0.01720336265861988,0.000288,40.32180017891783,0.00017175718712446187,-0.019648112643405217,0.0,8.887619495391846,0.9097182750701904,53.20308184623718,63.00042009353638,-2.4223327343975143e-08,-2.4437904477814243e-10
-479.94362066149944,0.0075000000000000015,1000.0,-105.7324499298242,0.0,1000.0,-79.33199663573028,0.0,1000.0,5,100000,40,0.01955552026629448,0.00028500000000000004,40.27332085999437,0.0005203975523210201,-0.021563481252894146,0.0,7.5914623737335205,0.9050350189208984,51.79460072517395,60.29109859466553,1.4877318932349226e-08,2.712011448746665e-10
-451.5411361083351,0.08000000000000002,1000.0,37.908276450867156,0.0,1000.0,-75.09900098157122,0.0,1000.0,6,120000,31,0.021765118464827538,0.000282,37.36350008793422,0.0004351062901240804,-0.020999778563784068,0.0,8.859432458877563,1.1113085746765137,41.83777475357056,51.80851650238037,-4.291534350109316e-10,-4.0829181702228823e-10
-391.1094324041916,0.0125,1000.0,-64.58098614920257,0.0,1000.0,-97.15176805512912,0.0,1000.0,7,140000,30,0.02026347815990448,0.00027900000000000006,33.352198760527266,2.3350215504796846e-06,-0.02358684655139074,0.0,7.360969543457031,0.9112443923950195,40.538442850112915,48.8106575012207,-2.38418573772492e-09,-8.888542679663658e-10
-337.848554302228,0.0,1000.0,-153.81878511580888,0.0,1000.0,-125.22768425152663,0.0,1000.0,8,160000,28,0.020009517669677734,0.00027600000000000004,26.9145117567751,1.5870304513593087e-06,-0.022607579561030523,0.0,16.800379514694214,0.9330098628997803,37.04047989845276,54.77386975288391,-4.768371461572052e-11,1.2792646941761632e-09
-288.739921990304,0.04750000000000001,1000.0,-185.07999111716038,0.0,1000.0,-115.58400861163055,0.0,1000.0,9,180000,22,0.02036355808377266,0.000273,30.27830338540411,0.0004249885210647382,-0.02098138316281815,0.0,7.691167116165161,0.91400146484375,28.545713663101196,37.150882959365845,6.198883073516015e-10,2.1308660391738954e-10
-232.94271046894391,0.0025,1000.0,-113.62712613399931,0.0,1000.0,-82.30406615938752,0.0,1000.0,10,200000,22,0.021128011867403984,0.00027000000000000006,31.381133974342887,6.989086157825708e-07,-0.02266825140488228,0.0,6.421814680099487,0.9367423057556152,30.631625175476074,37.99018311500549,-4.768371808516747e-10,-3.1106173192796405e-11
-211.6097719563687,0.11749999999999998,1000.0,-180.52320091835455,0.0,1000.0,-161.68559424467813,0.0,1000.0,11,220000,17,0.020140375941991806,0.0002670000000000001,28.775900926430452,0.002110726715978057,-0.02198501325232897,0.0,7.342564105987549,0.9204964637756348,22.960439443588257,31.223500728607178,-9.918212917625624e-09,2.3245810831795666e-10
-153.30216915928796,0.0325,1000.0,233.93628546269943,0.0,1000.0,-175.4820648221325,0.0,1000.0,12,240000,22,0.020042801275849342,0.0002640000000000001,29.07411966440188,2.926270993045724e-07,-0.023568000233424608,0.0,9.737322330474854,0.9148187637329102,29.023998260498047,39.67614006996155,1.4591217123438582e-08,-3.280118121562481e-10
-93.77059953353077,0.095,1000.0,484.84632897873354,0.0,1000.0,-212.85265355155553,0.0,1000.0,13,260000,18,0.02068125642836094,0.00026100000000000006,29.30568546008082,0.002357248333817888,-0.02149234191523809,0.0,13.956450700759888,0.8773784637451172,23.692269563674927,38.52609944343567,1.3256072683986986e-08,-1.1652707687659358e-09
-72.72186843103546,0.1825,1000.0,368.6737796398118,0.0,1000.0,-210.9942517446131,0.0,1000.0,14,280000,16,0.020187174901366234,0.00025800000000000004,32.453662904306725,0.0017254983070735424,-0.020771505485173314,0.0,11.582276582717896,0.9430091381072998,21.26707911491394,33.792365312576294,1.6403198799253005e-08,3.3676625377232483e-10
-11.963669000193992,0.42750000000000005,1000.0,725.6307654212892,0.0,1000.0,-173.9758505987405,0.0,1000.0,15,300000,14,0.021660132333636284,0.000255,29.54412557348602,0.005711640860931613,-0.019506000023907358,0.0,8.291752099990845,1.0285887718200684,17.829466819763184,27.149808645248413,-3.2234190427971043e-08,1.5199184133507515e-09
59.499993975772405,0.36249999999999993,1000.0,795.520334814761,0.0,1000.0,-158.62712876879777,0.0,1000.0,16,320000,15,0.020154092460870743,0.00025200000000000005,36.29659305365322,0.01031111494277185,-0.01956919928540548,0.0,7.312763452529907,0.9247102737426758,18.69366192817688,26.93113660812378,3.1757355856143477e-08,-9.000301615103012e-10
180.8164516473014,0.7699999999999999,1000.0,1023.6099331343754,0.0,1000.0,-228.8101698363705,0.0,1000.0,17,340000,15,0.020191797986626625,0.0002490000000000001,39.25181571302323,0.008877066826787006,-0.020736850484316977,0.0,11.532679080963135,0.932281494140625,19.494739294052124,31.95970058441162,1.6403198799253005e-08,-3.933906533859499e-10
219.51520441032343,0.5075,1000.0,769.871478514997,3.0,1000.0,-217.80208717713944,0.0,1000.0,18,360000,16,0.021231433376669884,0.00024600000000000007,41.24353030809579,0.004548343420555801,-0.020306524741496836,0.0,14.272354125976562,0.8903114795684814,20.41687250137329,35.57953858375549,-3.013610694324598e-08,1.6093254506799326e-09
263.6034833983134,0.9200000000000002,1000.0,1310.538568745855,4.0,1000.0,-184.91621128769438,0.0,1000.0,19,380000,11,0.020251035690307617,0.00024300000000000008,44.29325834568455,0.01516840639716384,-0.01657272609288315,0.0,11.294171571731567,0.8756721019744873,13.819477796554565,25.989322662353516,-3.528594971768939e-09,2.8312205357927667e-10
337.4725373668577,1.0850000000000004,1000.0,453.72579746930546,2.0,1000.0,-261.46617529275295,0.0,1000.0,20,400000,10,0.020741011947393417,0.00024000000000000006,43.41190162238222,0.008575661186589681,-0.016354262665027198,0.0,11.99475383758545,0.8826050758361816,12.257409572601318,25.134768962860107,6.504058802647705e-08,-1.3709068602540952e-10
429.8759723649703,1.0525,1000.0,1301.3824408930789,5.0,1000.0,-261.3107242364825,0.0,1000.0,21,420000,16,0.020573794841766357,0.00023700000000000007,52.70493401544163,0.01929311369119754,-0.020603535367795578,0.0,11.12186336517334,0.876434326171875,19.99492573738098,31.993223905563354,-2.5177001816700795e-08,1.057982479402142e-09
495.3323828857303,1.7299999999999998,1000.0,611.986811825496,3.0,1000.0,-283.4703878226057,0.0,1000.0,22,440000,12,0.020179633051156998,0.00023400000000000008,47.413931929392305,0.017396862385422585,-0.018969238646719226,0.0,8.452179193496704,0.8910007476806641,15.600330352783203,24.94351077079773,9.346008411625917e-09,-1.5497207683790037e-10
447.21093175025334,3.0675,1000.0,1575.752434520396,17.0,1000.0,-304.6051746052811,0.0,1000.0,23,460000,14,0.02385620027780533,0.00023100000000000009,57.41512165435206,0.07478840999054033,-0.018190345037341737,0.0,7.34204626083374,0.9004297256469727,17.50554656982422,25.74802303314209,-1.2588500908350397e-08,-7.56979012805914e-09
671.5949995386705,6.034999999999999,1000.0,952.7684538171369,16.0,1000.0,-296.8742365610972,0.0,1000.0,24,480000,8,0.020610598847270012,0.0002280000000000001,65.19761592130692,0.14576072921565833,-0.014788734768450367,0.0,7.8111183643341064,0.9168729782104492,10.364358901977539,19.092350959777832,2.0980834847250662e-08,-4.720687840631399e-09
699.8324435648224,6.7875,1000.0,1639.1053023762352,44.0,1000.0,-292.37252424497456,0.0,1000.0,25,500000,10,0.020691780373454094,0.00022500000000000008,66.14133978225172,0.14394090566843654,-0.015621848967217933,0.0,12.677296161651611,0.8825910091400146,13.048404932022095,26.608292818069458,-2.727508530142586e-08,6.341934088993639e-09
714.0956080303926,8.1575,1000.0,929.3028408934299,9.0,1000.0,-311.35081894504617,0.0,1000.0,26,520000,10,0.02125675417482853,0.00022200000000000008,70.00845570609974,0.16226708056351627,-0.016125051102514703,0.0,14.654393672943115,0.8919868469238281,12.616805791854858,28.16318702697754,3.356933575560106e-08,6.914138706015649e-10
848.1262782449561,11.152500000000002,1000.0,1751.8466650650937,75.0,1000.0,-411.298896648739,0.0,1000.0,27,540000,7,0.02150031365454197,0.0002190000000000001,74.3801160182979,0.3088428664651569,-0.012292047021872293,0.0,10.972237348556519,0.8654482364654541,8.85642957687378,20.69411611557007,4.5204163967582645e-08,-1.2493133638713516e-08
1006.3632789934912,17.3975,1000.0,1933.9921051771103,113.0,1000.0,-400.0312537454336,0.0,1000.0,28,560000,12,0.02042466215789318,0.00021600000000000007,73.33028421209008,0.4078272833777502,-0.018112349386599225,0.0,8.139424562454224,0.930079460144043,15.28411078453064,24.353615522384644,-3.8146971692576415e-10,-7.867813067718998e-10
928.1172156671562,18.849999999999998,1000.0,2018.972408056776,135.0,1000.0,-419.49709695203353,0.0,1000.0,29,580000,6,0.020120659843087196,0.00021300000000000008,84.1979035457737,0.5248653260600199,-0.010059405934002104,0.0,8.744645357131958,0.9469237327575684,7.472060441970825,17.16363000869751,7.705688176429248e-08,3.0040741005876725e-09
1112.1551904909884,24.0775,1000.0,2032.8481851916874,153.0,1000.0,-391.66245906903475,0.0,1000.0,30,600000,10,0.020245788618922234,0.0002100000000000001,87.15002352681023,0.7117125584675481,-0.016607234502633732,0.0,9.121819019317627,0.8788650035858154,12.627394199371338,22.62807846069336,-2.4604798198879507e-08,9.083747976035284e-09
1147.7435216111517,35.62500000000001,1000.0,2228.7807338119005,201.0,1000.0,-476.7095784617557,0.0,1000.0,31,620000,11,0.02097492851316929,0.0002070000000000001,101.20162566276682,1.0405752141133595,-0.016069159097536735,0.0,8.371527910232544,0.8940551280975342,13.9221031665802,23.187686681747437,5.435943606357796e-08,1.1777878228258487e-08
1163.071095028271,37.072500000000005,1000.0,1856.9073362132642,156.0,1000.0,-447.7236473839301,0.0,1000.0,32,640000,6,0.02041897363960743,0.0002040000000000001,92.55065471295731,1.26228152889921,-0.00908905945726223,0.0,9.600019216537476,0.8884522914886475,7.9226975440979,18.41116952896118,1.3351439953623867e-09,-1.1873245497895368e-08
1257.134237849936,49.4875,1000.0,2129.7602045558288,161.0,1000.0,-451.99423084180694,0.0,1000.0,33,660000,8,0.020126495510339737,0.00020100000000000012,102.12105121018406,1.6488151327965739,-0.011816395711103163,0.0,14.91775107383728,0.9739515781402588,10.265357732772827,26.157061100006104,6.866454782539222e-08,-5.350112886048919e-08
1385.1903482882622,62.24249999999999,1000.0,1510.3172532621857,107.0,1000.0,-501.1280016747437,0.0,1000.0,34,680000,13,0.022952362895011902,0.0001980000000000001,90.15905331123898,2.0789729552469374,-0.016386506559384922,0.0,15.807188749313354,0.9007465839385986,16.32346487045288,33.03140091896057,3.585815377959989e-08,1.354217538107605e-08
1417.451746497396,73.0875,1000.0,2532.082172456183,343.0,1000.0,-478.90958203093055,0.0,1000.0,35,700000,11,0.02058107778429985,0.0001950000000000001,103.17975827797949,2.383308997221406,-0.014254312599894722,0.0,12.313556671142578,0.8676936626434326,13.593108415603638,26.774358987808228,-4.425048771850015e-08,-1.749992328825556e-08
1486.8697785153117,82.86749999999999,1000.0,2403.0081428178046,303.0,1000.0,-476.9507844467914,0.0,1000.0,36,720000,9,0.02161589078605175,0.0001920000000000001,116.69538778508856,2.6095642240749086,-0.013257078419118475,0.0,8.515292406082153,0.9049913883209229,11.358153343200684,20.778437614440918,0.0,-2.4414061883248905e-08
1553.5397543560964,103.16750000000002,1000.0,2616.9175107905767,409.0,1000.0,-540.9758755485541,0.0,1000.0,37,740000,8,0.02040974795818329,0.00018900000000000012,121.21672469358475,3.4080590786168368,-0.011830806135967636,0.0,7.483435392379761,0.8744087219238281,10.328067541122437,18.685912609100342,3.509521562250484e-08,1.058578504853358e-07
1553.512266723183,111.1125,1000.0,2713.5674023376005,436.0,1000.0,-536.1155053403097,0.0,1000.0,38,760000,8,0.020195847377181053,0.00018600000000000013,123.31293720025985,4.395766195969079,-0.011755365390366259,0.0,13.330498695373535,0.9454069137573242,10.14608359336853,24.421990156173706,-5.435943606357796e-08,4.711151291303395e-08
1626.7664103226643,129.41,1000.0,2514.5900121790273,363.0,1000.0,-590.542138623067,0.0,1000.0,39,780000,6,0.02023094706237316,0.00018300000000000014,110.67093154899102,4.908283741202471,-0.009519191890016706,0.0,13.410417556762695,0.8675448894500732,7.6647889614105225,21.94275188446045,-2.231597839852384e-08,8.120537131617311e-08
1729.8472345910443,142.92249999999999,1000.0,2790.201886332251,468.0,1000.0,-518.8577005844352,0.0,1000.0,40,800000,10,0.02253776788711548,0.00018000000000000012,128.05258322036303,5.371074789553024,-0.013077959180705416,0.0,11.964849948883057,0.8727433681488037,12.482125759124756,25.319720029830933,4.005432074905002e-08,2.0980834847250662e-08
1713.982594992654,151.42999999999998,1000.0,2616.8178848116245,379.0,1000.0,-652.4598626390381,0.0,1000.0,41,820000,7,0.021240025758743286,0.0001770000000000001,123.77536229769534,6.096242186795735,-0.011163062733436103,0.0,11.697932958602905,0.8589088916778564,8.721323728561401,21.27816605567932,0.0,3.33786012163273e-08
1839.231684575251,169.76749999999998,1000.0,3010.3118019933954,561.0,1000.0,-632.0670233005502,0.0,1000.0,42,840000,11,0.02072456292808056,0.0001740000000000001,121.15249845962902,7.011071230968416,-0.015286132676722745,0.0,7.455877065658569,0.893115758895874,13.524489402770996,21.873482942581177,-2.7656554379973386e-08,-6.04629519784794e-08
1913.4265430724172,193.1325,1000.0,3200.6638296781534,629.0,1000.0,-633.2748596356571,0.0,1000.0,43,860000,10,0.020169580355286598,0.0001710000000000001,144.00513383908012,7.784221968940272,-0.014167435052611243,0.0,6.9039435386657715,0.9025037288665771,12.599472761154175,20.40592050552368,-1.7738342350526182e-08,4.959106458812812e-09
1964.2807414658885,226.20999999999998,1000.0,3055.373634296705,578.0,1000.0,-624.4121485486816,0.0,1000.0,44,880000,6,0.020266234874725342,0.00016800000000000007,140.32675199132885,8.798297042663867,-0.008119688046495087,0.0,9.421144247055054,0.9062559604644775,7.37162446975708,17.69902515411377,-6.866454960174906e-09,3.414153937342235e-08
1972.3995554223063,230.12500000000006,1000.0,2954.381178849501,536.0,1000.0,-650.1637210613364,0.0,1000.0,45,900000,13,0.02035534754395485,0.00016500000000000005,132.89331237125467,9.005264608184428,-0.015644398275977946,0.0,10.123082637786865,0.882291316986084,16.29096555709839,27.296340227127075,7.629394893626795e-09,-1.1444092340440193e-09
1999.4460441348997,250.9375,1000.0,3201.868216311455,632.0,1000.0,-651.3604207184072,0.0,1000.0,46,920000,11,0.021405871957540512,0.00016200000000000006,142.9436302173979,9.839051743700447,-0.013546204312498655,0.0,12.085525035858154,0.9024980068206787,13.654214143753052,26.6422381401062,-2.326965287124949e-08,5.340575981449547e-09
2163.9781827777056,292.03000000000003,1000.0,3289.840173878978,650.0,1000.0,-619.0416017040543,0.0,1000.0,47,940000,13,0.02369505539536476,0.00015900000000000007,118.70537183418939,10.941874598425535,-0.016176337055458203,0.0,10.365703821182251,0.877044677734375,16.608853101730347,27.85160231590271,-6.484985437538171e-09,-6.103515470812226e-09
2240.845771151356,307.67999999999995,1000.0,3158.8455860701015,611.0,1000.0,-712.373406941103,0.0,1000.0,48,960000,10,0.022335227578878403,0.00015600000000000008,151.96719441886145,11.60955905518212,-0.012790970197512795,0.0,8.710618495941162,0.880047082901001,12.822613000869751,22.41327929496765,-2.9754637864698452e-08,2.838134776084189e-07
2385.843564380114,359.51750000000004,1000.0,3178.0028977936836,613.0,1000.0,-684.3978192694759,0.0,1000.0,49,980000,10,0.02104620449244976,0.00015300000000000006,102.81203052654814,11.91015784367205,-0.01440020202965544,0.0,10.644052267074585,0.8708722591400146,12.48339319229126,23.998318195343018,-8.01086397217432e-09,5.378723244575667e-08
2476.756138726965,400.03999999999996,1000.0,3435.0812210334884,717.0,1000.0,-644.8329385849952,0.0,1000.0,50,1000000,10,0.021420491859316826,0.00015000000000000004,169.77778051638376,12.564275993554356,-0.013766046538993645,0.0,13.68579363822937,0.904778242111206,12.504055261611938,27.094627618789673,8.392333938900265e-09,-2.233505256299395e-07
923.1642104972977,189.02750000000003,1000.0,3392.325283979737,707.0,1000.0,-658.141573247938,0.0,1000.0,51,1020000,24,0.022132080048322678,0.00014700000000000005,48.61749873514246,1.6087300537513118,-0.012372740855997407,0.03137720631767298,12.121107339859009,0.9164278507232666,34.049641847610474,47.087177753448486,1.7452240541615538e-08,-1.1520386067331856e-07
-450.26281781993265,0.0,1000.0,3310.877440987619,687.0,1000.0,-653.8154911172388,0.0,1000.0,52,1040000,6,0.020095769315958023,0.00014400000000000006,52.97219729195007,0.4180425903199516,-0.004725457446454281,0.07280706804289351,9.909171104431152,0.8861382007598877,8.295477390289307,19.090787649154663,-1.8119811429073707e-08,-1.1253357001805853e-07
-409.9552461583733,0.0,1000.0,3138.5081780933397,620.0,1000.0,-712.9295204119725,0.0,1000.0,53,1060000,7,0.020101159811019897,0.00014100000000000004,28.988807923279087,0.15263499210396078,-0.008642713642593716,0.08863558855191696,7.218571662902832,0.9861927032470703,10.048027276992798,18.252792835235596,-5.664825408757679e-08,9.460449490461542e-08
-355.35329730050046,0.0,1000.0,1697.709872061824,210.0,1000.0,-659.0716959599466,0.0,1000.0,54,1080000,8,0.02345321699976921,0.00013800000000000002,26.034301230320914,0.10482799511599226,-0.011953623213983043,0.11148910459797508,14.563903570175171,0.9042665958404541,11.65114688873291,27.119317531585693,9.727478378351861e-09,-2.4223327343975143e-08
-276.3282646023707,0.06499999999999999,1000.0,3405.0601602469183,703.0,1000.0,-661.8152963922482,0.0,1000.0,55,1100000,10,0.021102823317050934,0.00013500000000000003,32.18700056792067,0.06628111259410747,-0.013764401253747244,0.1399146659853169,13.586699724197388,0.879910945892334,14.36900544166565,28.83561658859253,-3.919601354596125e-08,1.358985901589449e-08
-179.7023092133678,0.09000000000000001,1000.0,3361.3604310765213,675.0,1000.0,-608.4049651758764,0.0,1000.0,56,1120000,5,0.026718365028500557,0.00013200000000000004,21.019962268744035,0.051235790695911776,-0.010098277757497736,0.16606232625798295,14.039318084716797,0.9398331642150879,7.022860765457153,22.002012729644775,4.692077482104651e-08,7.772445798082117e-09
-90.49902989419343,0.22999999999999998,1000.0,3203.334166293984,656.0,1000.0,-555.3512248874891,0.0,1000.0,57,1140000,12,0.020770179107785225,0.00012900000000000005,22.825354758035132,0.04096992632485252,-0.01712243432528463,0.1978216688044536,7.8610899448394775,0.8827269077301025,17.12838387489319,25.872201204299927,-4.725456292931085e-08,3.216266719618943e-08
-42.83166923434858,0.15999999999999998,1000.0,3111.5900916519945,605.0,1000.0,-586.8391425557026,0.0,1000.0,58,1160000,11,0.020195189863443375,0.00012600000000000003,21.943153370129586,0.029102696357941406,-0.01649316391795917,0.242752797211321,10.04839563369751,0.9026246070861816,16.076515197753906,27.027535915374756,-3.452301200468355e-08,-2.2649764730431343e-08
16.440392211634855,0.175,1000.0,3137.915928848198,628.0,1000.0,-459.45948100830867,0.0,1000.0,59,1180000,12,0.021901501342654228,0.00012300000000000004,21.381080778008197,0.021094838736273342,-0.017281065981500882,0.28790666889776184,9.618726968765259,0.8800547122955322,16.741259574890137,27.240041732788086,-7.820129432900558e-09,1.072883587527329e-10
72.34304551190753,0.5125000000000001,1000.0,2819.4681929824146,522.0,1000.0,-486.73839246074914,0.0,1000.0,60,1200000,17,0.021206919103860855,0.00012000000000000003,19.035965172739502,0.013468169037638075,-0.020439968647482914,0.34448772625711666,13.309184551239014,0.8674664497375488,23.8416907787323,38.01834273338318,6.103515470812226e-09,-3.206729992655255e-09
142.24008394371612,1.3275000000000001,1000.0,2694.5233536707037,487.0,1000.0,-535.4639758169292,0.0,1000.0,61,1220000,16,0.021769460290670395,0.00011700000000000002,18.536964321003172,0.07371141477630246,-0.021371447655466048,0.4122111648023605,9.156575441360474,0.9141790866851807,22.32524824142456,32.39600348472595,1.1825561863076928e-08,1.1175870895385742e-08
160.3410921188384,0.96,1000.0,2741.3825562507523,464.0,1000.0,-534.0420444363007,0.0,1000.0,62,1240000,13,0.02014993131160736,0.00011400000000000002,20.67471409488527,0.01690963216290303,-0.01879481451998335,0.4812835322518582,7.984604835510254,0.887312650680542,18.664634466171265,27.53655242919922,-5.817413217812373e-09,9.334087280876702e-09
206.15940438245693,0.615,1000.0,2602.161853790108,458.0,1000.0,-502.3801020197013,0.0,1000.0,63,1260000,11,0.02024836279451847,0.00011100000000000003,22.660274402575197,0.009844159313379926,-0.016002128494190956,0.5449402466472623,11.340019464492798,0.86551833152771,15.399405002593994,27.60494351387024,1.3160705414350105e-08,-4.243850604268573e-09
258.06941116701825,1.265,1000.0,2964.5638039142887,535.0,1000.0,-609.7039391819924,0.0,1000.0,64,1280000,12,0.020398521795868874,0.00010800000000000004,23.754114924782254,0.04510870077631152,-0.016816247508454972,0.605843495272092,9.613700151443481,0.8825728893280029,17.044982194900513,27.541255712509155,-1.3160705414350105e-08,-1.3446808111439168e-08
280.5090626982588,1.7025000000000001,1000.0,282.86725728161673,54.0,1000.0,-433.1125517972158,0.0,1000.0,65,1300000,19,0.020696820691227913,0.00010500000000000003,21.249973576229642,0.03717603333741026,-0.02085127423128872,0.6871492695924674,12.560333967208862,0.9022579193115234,26.85283613204956,40.31542897224426,2.4986267277427032e-08,-3.039836826701503e-09
335.88841518089845,2.0075,1000.0,2940.9611141627347,537.0,1000.0,-471.71202209122214,0.0,1000.0,66,1320000,18,0.02040114440023899,0.00010200000000000003,21.771004534800255,0.12599036305512007,-0.021286995656309628,0.7675092851899811,10.04525876045227,0.8802053928375244,25.478244304656982,36.403709411621094,4.9304961891039056e-08,5.245208711812666e-10
360.4787590119714,3.255,1000.0,2867.214270490725,555.0,1000.0,-585.2759533515399,0.0,1000.0,67,1340000,24,0.020463619381189346,9.900000000000002e-05,22.529766157094915,0.09924682536949944,-0.023244788827721963,0.8566841228019061,12.87580394744873,0.8881702423095703,33.66577458381653,47.42974925041199,9.107589349355294e-09,2.2053718851111626e-09
414.9001534929545,1.8199999999999996,1000.0,2812.1886051044416,530.0,1000.0,-495.7258708745558,0.0,1000.0,68,1360000,19,0.02222728542983532,9.600000000000003e-05,22.95097820502641,0.08835331275097603,-0.020432916415334738,0.9468325973960238,14.014784097671509,0.871173620223999,25.955342292785645,40.84130048751831,1.1634826435624745e-08,-3.4928322456551086e-09
431.8982482573109,2.9325,1000.0,2514.7286946244353,473.0,1000.0,-527.3184344499833,0.0,1000.0,69,1380000,19,0.020069316029548645,9.300000000000002e-05,25.707282298629938,0.09704457648907797,-0.0215297878308938,1.0237402933694664,10.547257900238037,0.8942606449127197,26.941051244735718,38.38257074356079,-1.683235240079739e-08,-1.3351439953623867e-09
477.8685305172201,2.8775,1000.0,2967.881523194148,551.0,1000.0,-491.0492721526647,0.0,1000.0,70,1400000,23,0.020052514970302582,9.000000000000003e-05,27.95866631872042,0.12838682990093242,-0.020949082474208357,1.0946047065621995,7.780483961105347,0.8912351131439209,32.24987244606018,40.921592473983765,-2.4342536875110454e-08,1.4066696696346526e-09
