Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-742.0117617519084,0.0,1000.0,1,20000,0.006222119,33.13561704234712,0.004239100603843523,-8.392333938900265e-09,13.933385372161865,6.132705211639404,20.066094160079956,7.438659466174613e-09,-9.536743617033494e-10,0.7126146554946899,0.2883795201778412,0.03938404843211174,0.10856889188289642,0.404678076505661,1.0
-632.7808816622224,0.0,1000.0,2,40000,0.0063987346,27.447234951310858,0.0004615268654080262,1.1056959436928082e-07,13.79145097732544,6.12830662727356,19.919759273529053,-1.106739020428904e-07,-1.0430813157658037e-10,0.7052069306373596,0.28565022349357605,0.04021580517292023,0.11031737178564072,0.40505874156951904,1.0
-537.3402230381839,0.0,1000.0,3,60000,0.0067416015,33.21511694185293,0.0003147036246110086,5.6602061704325024e-08,13.624784469604492,5.95430326461792,19.579089879989624,-5.578994688448802e-08,8.12113265524772e-10,0.6857321858406067,0.27566736936569214,0.04253248870372772,0.11858920753002167,0.4020044207572937,1.0
-463.9647146923273,0.0,1000.0,4,80000,0.006425694,33.18366421013121,0.00024481585718673555,-3.362298173215095e-08,13.971320867538452,6.107029438018799,20.078352212905884,3.385543934086854e-08,2.3245810831795666e-10,0.762863039970398,0.2848335802555084,0.03436661511659622,0.10497330874204636,0.37337446212768555,1.0
-401.9442339801118,0.0,1000.0,5,100000,0.006921604,24.61679226091713,0.00015501916330866813,-2.721697089924646e-09,13.997699737548828,6.010758399963379,20.00846028327942,3.027915917996893e-09,3.0621885582782227e-10,0.767212986946106,0.2697451412677765,0.03397801145911217,0.1127852350473404,0.35159099102020264,1.0
-326.3594324166803,0.0,1000.0,6,120000,0.006570706,27.426663801472657,4.266418309966258e-05,6.626359905226309e-09,14.27588438987732,6.39861798286438,20.67450451850891,-6.866454960174906e-09,-2.400949716818701e-10,0.7842618227005005,0.27671295404434204,0.03251679241657257,0.11030653864145279,0.3528323769569397,1.0
-271.5163437129087,0.0,1000.0,7,140000,0.0064167753,25.213166013948477,5.860178228526906e-07,3.1925737609128646e-09,14.642666578292847,6.082997560501099,20.725666046142578,-2.1934509764065524e-09,9.991228955286147e-10,0.7467617988586426,0.2822369635105133,0.03586457297205925,0.10628441721200943,0.37794777750968933,1.0
-192.10998459946958,0.005,1000.0,8,160000,0.006978077,27.26940482437231,0.00043301285613344857,-2.4933369147106532e-08,14.844844818115234,6.097743511199951,20.94258999824524,2.5415420878971418e-08,4.820525645321538e-10,0.6754910945892334,0.2633635997772217,0.04383192956447601,0.12883968651294708,0.3898846209049225,1.0
-116.05119684775187,0.10500000000000001,1000.0,9,180000,0.0069499435,29.649376566698596,0.0008609786446949123,2.1228194313493987e-08,14.57330846786499,6.117827653884888,20.69113850593567,-2.1171569386524425e-08,5.6624413491412895e-11,0.7530734539031982,0.26637038588523865,0.03526591882109642,0.11787930130958557,0.35371097922325134,1.0
-44.0257423189534,0.09750000000000003,1000.0,10,200000,0.007021967,32.05732327965414,0.0008693796316819386,-2.6679037645749304e-08,14.163765907287598,6.13044810295105,20.29421615600586,2.6607512637610853e-08,-7.15255771277512e-11,0.6737780570983887,0.2677513062953949,0.044055093079805374,0.13141752779483795,0.3973880112171173,1.0
19.711901925103263,0.11750000000000002,1000.0,11,220000,0.0073374268,36.22520372062732,0.0008642503653523636,2.119243269760318e-08,13.731362342834473,5.906156539916992,19.637521028518677,-2.155304024142879e-08,-3.6060809893712076e-10,0.6947009563446045,0.25721800327301025,0.04144136607646942,0.1422985941171646,0.37025707960128784,1.0
103.74468551039101,0.18,1000.0,12,240000,0.006905658,39.25617513231411,0.0025817865489924465,-1.440048258416482e-08,14.021371364593506,5.982202053070068,20.00357460975647,1.525878978725359e-08,8.583068700218632e-10,0.668693482875824,0.26460084319114685,0.04472761228680611,0.15797334909439087,0.3956982493400574,1.0
200.37035380959315,0.8125,1000.0,13,260000,0.007334606,46.019764140912685,0.017696455980993654,6.445050360071036e-08,13.914743423461914,5.965287923812866,19.880033016204834,-6.437301891537572e-08,7.748603841895019e-11,0.6869109272956848,0.25232255458831787,0.04238664731383324,0.1579083949327469,0.36732935905456543,1.0
188.90764358422285,1.9375,1000.0,14,280000,0.0064058513,51.87116778063926,0.05580148021364288,4.827976241017495e-09,14.339931964874268,6.064773082733154,20.404706954956055,-7.820129432900558e-09,-2.9921531918830624e-09,0.7913658618927002,0.27697286009788513,0.03193560987710953,0.13700097799301147,0.34999343752861023,1.0
210.548524025713,2.6600000000000006,1000.0,15,300000,0.0068976562,58.352643582775336,0.033134613812984125,-3.204345588869728e-08,13.760001420974731,6.097194671630859,19.85719871520996,3.3092497631059814e-08,1.0490417423625331e-09,0.6297286152839661,0.26341819763183594,0.05043395608663559,0.170919269323349,0.41830435395240784,1.0
276.8327331401766,3.6674999999999995,1000.0,16,320000,0.0064517953,58.290738014658544,0.11406524681432802,1.9788743088611227e-08,13.357710123062134,6.085420846939087,19.443132400512695,-1.4114379887075756e-08,5.674362313357051e-09,0.7241989970207214,0.2769762873649597,0.038134146481752396,0.14950881898403168,0.38245880603790283,1.0
