Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Loss/Loss_safety,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-702.3962335133084,0.0,1000.0,1,20000,40,0.012848266400396824,0.00029925,27.07928594042318,0.002221220197238269,-0.012167045691103776,0.0,0.0,6.226639270782471,49.688947916030884,55.915589570999146,1.2989043796096666e-07,1.287460360543946e-09
-644.715354352728,0.0,1000.0,2,40000,40,0.014561915770173073,0.0002985,31.5577676533891,0.00015524481893928064,-0.01522169522206543,0.0,0.0,7.264685869216919,48.18698310852051,55.45167064666748,-8.01086397217432e-09,-6.705522803684971e-10
-612.2648602178648,0.0,1000.0,3,60000,40,0.016916092485189438,0.00029775,30.494192841182503,6.233689644217137e-05,-0.01837448670760172,0.0,0.0,8.573047876358032,49.30748915672302,57.88053894042969,9.536743617033494e-10,-7.007270874659355e-10
-584.9701689709387,0.0,1000.0,4,80000,38,0.020253906026482582,0.000297,33.490192055481714,4.145507562510178e-06,-0.020871176398444588,0.0,0.0,9.27393364906311,48.00174641609192,57.27568173408508,4.1103362491412554e-08,-9.667128209045472e-10
-543.3409372289167,0.0,1000.0,5,100000,28,0.020173540338873863,0.00029625,21.634730003131466,2.8540983933910835e-06,-0.022213751078725273,0.0,0.0,10.611068725585938,35.98815989494324,46.599231004714966,6.618499526211963e-08,1.1958181667104384e-10
-493.6903291228706,0.0,1000.0,6,120000,30,0.020490005612373352,0.0002955,21.498251807930878,1.965180688916282e-06,-0.022112510041844523,0.0,0.0,6.0502448081970215,37.085689067840576,43.135934591293335,-3.3283232170333577e-08,-5.885958942464242e-10
-455.7474898950292,0.0,1000.0,7,140000,31,0.020513169467449188,0.00029475000000000004,28.264462653624697,1.3558780094990775e-06,-0.023439029750863295,0.0,0.0,6.640996217727661,39.07806992530823,45.719066858291626,-1.668930060816365e-08,6.452202661044737e-10
-429.63372475923717,0.0,1000.0,8,160000,23,0.020056458190083504,0.00029400000000000004,20.408668656500865,9.45282264667012e-07,-0.021841817970978464,0.0,0.0,8.83737826347351,27.972225427627563,36.80960488319397,-1.9073485846288207e-10,1.1362135537984486e-10
-365.9109186726123,0.0,1000.0,9,180000,24,0.020446723327040672,0.00029325000000000005,24.009918424522027,6.599120076941926e-07,-0.023146074334328352,0.0,0.0,9.1624174118042,29.708946704864502,38.871365547180176,1.3923645347801994e-08,-1.8067658480447335e-11
-316.48818359358665,0.0,1000.0,10,200000,15,0.02048182487487793,0.00029250000000000006,25.532709242970036,4.675370133686406e-07,-0.019486832083624422,0.0,0.0,7.103617429733276,18.504531145095825,25.608150005340576,-4.625320570994518e-09,9.477139073510443e-10
