Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-702.3962335133084,0.0,1000.0,1,20000,40,0.012848266400396824,0.00029925,27.07928594042318,0.002221220197238269,-0.012167045691103776,0.0,5.97719144821167,49.61795353889465,55.595147132873535,1.2989043796096666e-07,1.287460360543946e-09
-644.715354352728,0.0,1000.0,2,40000,40,0.014561915770173073,0.0002985,31.5577676533891,0.00015524481893928064,-0.01522169522206543,0.0,6.483710527420044,50.23296594619751,56.71667790412903,-8.01086397217432e-09,-6.705522803684971e-10
-612.2648602178648,0.0,1000.0,3,60000,40,0.016916092485189438,0.00029775,30.494192841182503,6.233689644217137e-05,-0.01837448670760172,0.0,6.194518089294434,50.14338254928589,56.33790135383606,9.536743617033494e-10,-7.007270874659355e-10
-584.9701689709387,0.0,1000.0,4,80000,38,0.020253906026482582,0.000297,33.490192055481714,4.145507562510178e-06,-0.020871176398444588,0.0,6.1936891078948975,47.992501974105835,54.18619203567505,4.1103362491412554e-08,-9.667128209045472e-10
-543.3409372289167,0.0,1000.0,5,100000,28,0.020173540338873863,0.00029625,21.634730003131466,2.8540983933910835e-06,-0.022213751078725273,0.0,6.922768831253052,36.63362741470337,43.556397676467896,6.618499526211963e-08,1.1958181667104384e-10
-493.6903291228706,0.0,1000.0,6,120000,30,0.020490005612373352,0.0002955,21.498251807930878,1.965180688916282e-06,-0.022112510041844523,0.0,6.723134756088257,38.149001121520996,44.87213683128357,-3.3283232170333577e-08,-5.885958942464242e-10
-455.7474898950292,0.0,1000.0,7,140000,31,0.020513169467449188,0.00029475000000000004,28.264462653624697,1.3558780094990775e-06,-0.023439029750863295,0.0,6.4087536334991455,38.65001106262207,45.05876612663269,-1.668930060816365e-08,6.452202661044737e-10
-429.63372475923717,0.0,1000.0,8,160000,23,0.020056458190083504,0.00029400000000000004,20.408668656500865,9.45282264667012e-07,-0.021841817970978464,0.0,6.2648491859436035,29.02163600921631,35.28648662567139,-1.9073485846288207e-10,1.1362135537984486e-10
-365.9109186726123,0.0,1000.0,9,180000,24,0.020446723327040672,0.00029325000000000005,24.009918424522027,6.599120076941926e-07,-0.023146074334328352,0.0,6.257646560668945,30.961178064346313,37.218825817108154,1.3923645347801994e-08,-1.8067658480447335e-11
-316.48818359358665,0.0,1000.0,10,200000,15,0.02048182487487793,0.00029250000000000006,25.532709242970036,4.675370133686406e-07,-0.019486832083624422,0.0,6.788798093795776,19.028801918029785,25.817601442337036,-4.625320570994518e-09,9.477139073510443e-10
-308.816205411743,0.0,1000.0,11,220000,17,0.020148245617747307,0.00029175000000000007,20.337046350444357,3.2762501289036603e-07,-0.020047755819619168,0.0,7.921084642410278,21.622216939926147,29.5433030128479,1.201629640235069e-08,-6.051734113832197e-10
-273.19862769396536,0.0,1000.0,12,240000,15,0.02040426805615425,0.0002910000000000001,20.883508016913336,2.304171958581686e-07,-0.021034501811550955,0.0,7.823256015777588,18.948042154312134,26.771300554275513,-1.5544891596164234e-08,4.860572500042792e-10
-227.04894437686085,0.015000000000000003,1000.0,13,260000,18,0.02126813679933548,0.0002902500000000001,22.325482742558737,0.0016764407340609615,-0.02117930960791555,0.0,11.824245929718018,23.031904458999634,34.856152057647705,4.749298199158147e-08,-1.5497207683790037e-10
-136.63261730977547,0.085,1000.0,14,280000,12,0.020655855536460876,0.0002895000000000001,23.492457163600495,1.0165093965759181e-07,-0.018936880228319925,0.0,15.625672578811646,15.312512159347534,30.938188076019287,6.38961772381208e-09,1.699198004523339e-10
-100.98571278860595,0.0425,1000.0,15,300000,9,0.020378543063998222,0.0002887500000000001,23.37588371788732,0.0017463565219220801,-0.015873470336458664,0.0,12.639533996582031,11.250133514404297,23.88966941833496,3.499984657651112e-08,8.583068700218632e-10
-38.37168431956523,0.205,1000.0,16,320000,11,0.020085306838154793,0.0002880000000000001,20.24795210683481,0.0004320012923362002,-0.019140192663235925,0.0,8.275270700454712,14.18686580657959,22.462138652801514,-3.84330753888662e-08,-6.92903998067429e-11
-3.850114802157048,0.025,1000.0,17,340000,12,0.020276859402656555,0.0002872500000000001,22.78763514357253,0.00043635459825685293,-0.019662365519428772,0.0,11.309221506118774,15.37588095664978,26.68510389328003,-1.9454956756703723e-08,-1.1473894057090206e-10
30.85550051161585,0.1275,1000.0,18,360000,11,0.020521270111203194,0.00028650000000000013,26.433592786077078,0.0025543383849522374,-0.01684527746811531,0.0,10.780117750167847,14.010278463363647,24.790398120880127,3.6430357397421176e-08,4.887580895562849e-10
84.704409346375,0.135,1000.0,19,380000,10,0.02015715464949608,0.00028575000000000014,23.037912115578454,0.0012914231276286246,-0.017663601757036136,0.0,9.085758686065674,12.74947738647461,21.835238456726074,-4.863739189175931e-09,-2.5331975406217566e-10
144.83808479402995,0.20250000000000004,1000.0,20,400000,11,0.020328370854258537,0.00028500000000000015,29.759731022936986,0.0017191752794751304,-0.018531032280635056,0.0,7.692648649215698,13.980709552764893,21.673359632492065,-3.6239624634504253e-09,-9.506940790160456e-10
250.97875290418355,0.3075,1000.0,21,420000,9,0.021387510001659393,0.00028425000000000016,33.52808666026122,0.005478708483561731,-0.014921532337509829,0.0,11.70388412475586,11.720537662506104,23.42442297935486,-4.00543198608716e-09,2.3603439203156995e-09
274.46202047481853,0.685,1000.0,22,440000,10,0.02101161703467369,0.00028350000000000017,36.436375916270784,0.011135354145774207,-0.015126317978714601,0.0,15.388156414031982,12.756336688995361,28.144494771957397,2.479553229406406e-09,-3.278255444882916e-11
368.8143707822402,0.9075000000000001,1000.0,23,460000,9,0.020297225564718246,0.0002827500000000002,41.42873453662291,0.014028080502840868,-0.015254386336855752,0.0,15.176671981811523,11.431090354919434,26.60776376724243,-1.2207030941624453e-08,8.702278342376246e-10
503.43240183860934,1.35,1000.0,24,480000,12,0.021207671612501144,0.0002820000000000002,45.28551138907322,0.019993114256985415,-0.017115662824208785,0.0,14.172186613082886,14.810581684112549,28.982770442962646,-5.683898862685055e-08,-2.312660285497259e-09
540.8201439064065,1.675,1000.0,25,500000,8,0.02041437476873398,0.0002812500000000002,44.93575749153527,0.021849162556277887,-0.013762308109645396,0.0,14.215438604354858,10.410729885101318,24.62617063522339,5.5694581391207976e-08,-1.0907650338509711e-09
572.6549700658973,2.8049999999999997,1000.0,26,520000,6,0.02193339355289936,0.0002805000000000002,46.36327722405219,0.056429614760817245,-0.01078680181266845,0.0,15.534663915634155,7.631730079650879,23.16639542579651,-7.667541268574496e-08,-2.4199486858833552e-09
624.4296379831333,4.025,1000.0,27,540000,3,0.02143561653792858,0.0002797500000000002,51.703336713666985,0.06052416244658609,-0.0033045058109905648,0.0,16.846952199935913,3.712553024291992,20.55950617790222,6.294250454175199e-09,9.536743617033494e-10
644.488156479098,4.1450000000000005,1000.0,28,560000,7,0.020646581426262856,0.0002790000000000002,55.331474222368655,0.06328585218924677,-0.012402157461171225,0.0,9.521134853363037,8.722534656524658,18.24367094039917,-7.171630755919978e-08,1.8596648665436533e-09
708.9454960389573,5.135,1000.0,29,580000,5,0.02011280134320259,0.00027825000000000023,58.101945935575344,0.08620459749735297,-0.008798037334003101,0.0,12.166186332702637,6.306721448898315,18.47291088104248,-3.585815377959989e-08,-4.267692421677793e-09
627.2737580781925,6.3575,1000.0,30,600000,1,0.02014262042939663,0.00027750000000000024,46.61078098406807,0.11835925004924067,0.0059342980596829,0.0,14.032935619354248,1.2950856685638428,15.328023672103882,-8.392333938900265e-09,-4.172325152040912e-09
694.2169261602314,8.7175,1000.0,31,620000,4,0.02478712983429432,0.00027675000000000025,61.84048532144711,0.1971247406950155,-0.0042856822728354945,0.0,14.474291324615479,5.028376340866089,19.502668857574463,6.923675499592719e-08,3.0040741005876725e-09
863.8491322803154,10.925,1000.0,32,640000,8,0.02036452665925026,0.00027600000000000026,57.8405857505128,0.15885929668250795,-0.011520578804538963,0.0,13.084790706634521,9.80706238746643,22.891854763031006,-4.97818000155803e-08,-1.1205673056124965e-09
895.5850448811027,14.6675,1000.0,33,660000,9,0.021594757214188576,0.00027525000000000027,65.10961683582744,0.3329468389664257,-0.012308225992281503,0.0,15.780163288116455,11.214790105819702,26.994956016540527,1.2588500908350397e-08,2.312660285497259e-09
1054.8836211347184,20.270000000000003,1000.0,34,680000,3,0.02104208618402481,0.0002745000000000003,75.47516494360976,0.42067762845938705,-0.0029250064664406265,0.0,15.787713050842285,3.752011775970459,19.53972601890564,-3.414153937342235e-08,-3.9577483512687195e-09
1090.7599041607277,25.2275,1000.0,35,700000,2,0.022609470412135124,0.0002737500000000003,76.69475581013738,0.45131879797377905,0.0003140243856361308,0.0,17.16929054260254,2.503283977508545,19.672576665878296,-1.5640258865801115e-08,-1.2969970875076342e-08
997.0466191790565,22.8475,1000.0,36,720000,6,0.020161382853984833,0.0002730000000000003,85.45806799452906,0.5097058252912486,-0.007843586378552305,0.0,15.78020691871643,7.530071258544922,23.310279607772827,4.0245055288323783e-08,-4.625320570994518e-09
1153.9558286467802,30.184999999999995,1000.0,37,740000,1,0.02058149129152298,0.0002722500000000003,88.96279922460977,0.6719813033605155,0.004795329312023263,0.0,15.694759607315063,1.255753993988037,16.950515747070312,1.926422044107312e-08,3.280639759850601e-08
1085.8772724805888,28.8375,1000.0,38,760000,2,0.021170780062675476,0.0002715000000000003,79.17644344732022,0.647893241204964,0.002405495896114233,0.0,15.322803497314453,2.489788770675659,17.812593698501587,3.2424927187690855e-09,1.5354157056890472e-08
1013.7090690250149,31.835,1000.0,39,780000,1,0.020090188831090927,0.0002707500000000003,84.32054402653021,0.7781951569330198,0.005875614172698686,0.0,14.981389045715332,1.2424907684326172,16.223881006240845,2.174377478070255e-08,-7.438659466174613e-09
1099.8976484836817,34.27250000000001,1000.0,40,800000,6,0.023247797042131424,0.00027000000000000033,89.20785031506556,0.9005945065595344,-0.008563457557503075,0.0,16.85945701599121,7.431634902954102,24.29109477996826,2.250671471415444e-08,-4.482269222449986e-09
1159.0057182335418,43.28499999999999,1000.0,41,820000,4,0.02066938392817974,0.00026925000000000034,83.45641832839186,1.1296602890799983,-0.004014502187220814,0.0,17.10296630859375,4.976555824279785,22.07952332496643,-1.8882751362525596e-08,1.125335735707722e-08
1194.3288363542656,49.2675,1000.0,42,840000,4,0.02073957584798336,0.00026850000000000035,90.41667586317459,1.2231976090433498,-0.0042843445250318165,0.0,16.376631259918213,4.969265937805176,21.345898866653442,6.866454960174906e-09,6.675719976811934e-10
