Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/NominalEvalEpRet,Metrics/NominalEvalEpCost,Metrics/NominalEvalEpLen,Metrics/LegEvalEpRet,Metrics/LegEvalEpCost,Metrics/LegEvalEpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Time/Rollout,Time/Eval,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-639.1377443139875,0.0,1000.0,-159.9028430371239,0.0,1000.0,-51.297026437157974,0.0,1000.0,1,20000,40,0.013441167771816254,0.00029699999999999996,21.162990157787032,0.002557026041546478,-0.013272090389124734,0.0,5.977550745010376,0.8437087535858154,48.083492040634155,54.904751777648926,2.1200179389779805e-07,-8.821487429422348e-10
-626.6758460409096,0.0,1000.0,-271.6534336852418,0.0,1000.0,-19.301674999885176,0.0,1000.0,2,40000,40,0.011576061137020588,0.000294,31.27133342930303,0.0003240840208523099,-0.01409342682365471,0.0,5.786495685577393,0.842928409576416,48.24742913246155,54.876853466033936,8.993148981062404e-08,-1.1816621015015016e-09
-593.8150058757521,0.0,1000.0,-163.75017968807998,0.0,1000.0,-64.13714630371241,0.0,1000.0,3,60000,40,0.016150599345564842,0.00029099999999999997,32.83374092594122,0.00024558740835183094,-0.01724836379486752,0.0,6.772198915481567,0.8702843189239502,49.96675992012024,57.609243631362915,-7.2479249269008506e-09,3.0428171093888068e-09
-544.234430173786,0.0,1000.0,-124.26313670175405,0.0,1000.0,-61.20372660377477,0.0,1000.0,4,80000,40,0.01720336265861988,0.000288,40.32180017891783,0.00017175718712446187,-0.019648112643405217,0.0,7.808266639709473,0.886927604675293,50.65247106552124,59.347665548324585,-2.4223327343975143e-08,-2.4437904477814243e-10
-479.94362066149944,0.0075000000000000015,1000.0,-106.52369125075208,0.0,1000.0,-73.48670418633313,0.0,1000.0,5,100000,40,0.01955552026629448,0.00028500000000000004,40.27332085999437,0.0005203975523210201,-0.021563481252894146,0.0,7.97577428817749,1.2521703243255615,52.73076343536377,61.95870900154114,1.4877318932349226e-08,2.712011448746665e-10
-451.5411361083351,0.08000000000000002,1000.0,8.468010769913642,0.0,1000.0,-82.55902041593346,0.0,1000.0,6,120000,31,0.021765118464827538,0.000282,37.36350008793422,0.0004351062901240804,-0.020999778563784068,0.0,8.815736770629883,0.8915624618530273,40.69518542289734,50.402485370635986,-4.291534350109316e-10,-4.0829181702228823e-10
-391.1094324041916,0.0125,1000.0,-70.81684177127458,0.0,1000.0,-96.84107421124486,0.0,1000.0,7,140000,30,0.02026347815990448,0.00027900000000000006,33.352198760527266,2.3350215504796846e-06,-0.02358684655139074,0.0,8.597190856933594,0.8811802864074707,38.945870876312256,48.42424249649048,-2.38418573772492e-09,-8.888542679663658e-10
-337.848554302228,0.0,1000.0,-163.87501567490096,0.0,1000.0,-129.83650168371489,0.0,1000.0,8,160000,28,0.020009517669677734,0.00027600000000000004,26.9145117567751,1.5870304513593087e-06,-0.022607579561030523,0.0,6.763628721237183,0.8852760791778564,36.871782541275024,44.52068758010864,-4.768371461572052e-11,1.2792646941761632e-09
-288.739921990304,0.04750000000000001,1000.0,-101.55641469173906,0.0,1000.0,-99.72659295442723,0.0,1000.0,9,180000,22,0.02036355808377266,0.000273,30.27830338540411,0.0004249885210647382,-0.02098138316281815,0.0,7.118223190307617,0.9038982391357422,28.476924180984497,36.499046325683594,6.198883073516015e-10,2.1308660391738954e-10
-232.94271046894391,0.0025,1000.0,49.262312045034676,0.0,1000.0,-79.39763878267614,0.0,1000.0,10,200000,22,0.021128011867403984,0.00027000000000000006,31.381133974342887,6.989086157825708e-07,-0.02266825140488228,0.0,16.72843050956726,0.8656830787658691,28.630449295043945,46.22456407546997,-4.768371808516747e-10,-3.1106173192796405e-11
-211.6097719563687,0.11749999999999998,1000.0,-85.27019052487036,0.0,1000.0,-118.52187638220748,0.0,1000.0,11,220000,17,0.020140375941991806,0.0002670000000000001,28.775900926430452,0.002110726715978057,-0.02198501325232897,0.0,6.825587034225464,0.8933134078979492,22.203551530838013,29.922452449798584,-9.918212917625624e-09,2.3245810831795666e-10
-153.30216915928796,0.0325,1000.0,-31.948574293952554,0.0,1000.0,-240.1564119473752,0.0,1000.0,12,240000,22,0.020042801275849342,0.0002640000000000001,29.07411966440188,2.926270993045724e-07,-0.023568000233424608,0.0,6.938170909881592,0.8684816360473633,28.55191135406494,36.358564615249634,1.4591217123438582e-08,-3.280118121562481e-10
-93.77059953353077,0.095,1000.0,248.70911547135947,0.0,1000.0,-221.52615528327877,0.0,1000.0,13,260000,18,0.02068125642836094,0.00026100000000000006,29.30568546008082,0.002357248333817888,-0.02149234191523809,0.0,10.764636039733887,0.910999059677124,25.430077075958252,37.10571312904358,1.3256072683986986e-08,-1.1652707687659358e-09
-72.72186843103546,0.1825,1000.0,66.32502131526931,0.0,1000.0,-144.83589129164199,0.0,1000.0,14,280000,16,0.020187174901366234,0.00025800000000000004,32.453662904306725,0.0017254983070735424,-0.020771505485173314,0.0,10.639895677566528,0.9100081920623779,20.092703342437744,31.64260768890381,1.6403198799253005e-08,3.3676625377232483e-10
