Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LagragianMultiplier,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-640.9966248745358,0.0,1000.0,0.0,1,20000,40,0.009919892996549606,0.0,0.00029925,33.188371074123744,0.0045794182450541706,-0.01209335765233382,10.94165301322937,37.438143491744995,48.379798412323,7.400512913591228e-08,-1.6570090854983732e-09
-643.536515275007,0.0,1000.0,0.0,2,40000,40,0.009667438454926014,0.0,0.0002985,25.159085767739896,0.00044739747755110834,-0.012388178170547423,11.727984189987183,47.89568591117859,59.62367105484009,3.929138259195497e-08,-1.9669532669297496e-10
-567.6201742719302,0.0,1000.0,0.0,3,60000,40,0.009848373010754585,0.0,0.00029775,32.11757222315308,0.0003772079063709944,-0.012677786292161222,12.432219505310059,38.43667221069336,50.868892669677734,6.294250454175199e-09,6.22868534527754e-10
-559.8849345882417,0.0,1000.0,0.0,4,80000,40,0.011064199730753899,0.0,0.000297,26.02267485682372,0.0002971127817203709,-0.013830068778353417,11.990838527679443,37.1490638256073,49.13990354537964,4.138946607668004e-08,-4.976987710847425e-10
-489.8228368954184,0.040000000000000015,1000.0,0.0,5,100000,40,0.009667234495282173,0.0,0.00029625,32.39193338558173,0.0006533569081094721,-0.012089846958925319,13.023545980453491,35.47407364845276,48.49762225151062,-1.7166137400437265e-09,3.196299058760843e-10
-473.2057839087446,0.01,1000.0,0.0,6,120000,40,0.011446811258792877,0.0,0.0002955,26.348236110559693,0.00016364815250674195,-0.013865043524323495,11.377554655075073,34.48286986351013,45.86042547225952,2.8944015184606542e-08,-3.725290215195187e-11
-478.56926958471774,0.0,1000.0,0.0,7,140000,40,0.011156540364027023,0.0,0.00029475000000000004,22.201392846198598,9.866318014246644e-05,-0.014293956135475272,12.562169790267944,37.56182146072388,50.123992681503296,1.3732909920349812e-08,1.84774404110577e-10
-435.9347831783577,0.0,1000.0,0.0,8,160000,40,0.012322112917900085,0.0,0.00029400000000000004,21.34739327612956,8.8028949073832e-06,-0.01620289910670702,11.311655521392822,32.321799993515015,43.63345646858215,-1.1444091896350983e-08,1.1809170308296757e-10
-401.3587049888944,0.0,1000.0,0.0,9,180000,40,0.012242458760738373,0.0,0.00029325000000000005,20.51472239266535,2.232417286749134e-06,-0.015636289293453644,11.521139144897461,39.02130198478699,50.54244327545166,2.145767119543507e-09,-1.1079013262360604e-09
-358.4983534694156,0.0,1000.0,0.0,10,200000,40,0.013097911141812801,0.0,0.00029250000000000006,21.01540007226786,1.5629672807017124e-06,-0.016728827479454113,12.594357252120972,35.969969272613525,48.56432747840881,4.768371461572052e-11,1.2358650769428436e-09
-306.3300011198333,0.015,1000.0,0.0,11,220000,40,0.0130593441426754,0.0,0.00029175000000000007,25.871017648611858,0.00043301601152050904,-0.01603878364667658,11.632070064544678,37.92765259742737,49.55972456932068,1.4686584393075464e-08,6.385147410803427e-10
-259.04362199050064,0.075,1000.0,0.0,12,240000,40,0.013895219191908836,0.0,0.0002910000000000001,25.641928958437244,0.005897846303777526,-0.016777224570385232,12.500394105911255,39.3030047416687,51.80339980125427,1.6212463593845428e-09,-8.642673243741683e-10
-236.16414112897277,0.23999999999999994,1000.0,0.0,13,260000,40,0.013166007585823536,0.0,0.0002902500000000001,27.300567939023303,0.001503942106639832,-0.016618105650183918,12.601197242736816,40.980931520462036,53.582130670547485,-2.0122527644161892e-08,-1.0430812463768646e-11
-181.95550317641317,0.04750000000000001,1000.0,0.0,14,280000,40,0.01555295754224062,0.0,0.0002895000000000001,26.041523422101502,0.00043396160787836013,-0.01790737032847313,13.053907632827759,38.359466314315796,51.41337561607361,-2.3460387410523253e-08,8.642673382519561e-11
-177.6050846582018,0.0225,1000.0,0.0,15,300000,40,0.015733355656266212,0.0,0.0002887500000000001,18.302930905636707,7.988787072488745e-08,-0.017463392332925872,11.413046836853027,36.04532599449158,47.458374977111816,1.1682510070443186e-08,2.57603827158448e-10
-161.3351720040316,0.0,1000.0,0.0,16,320000,40,0.01575671136379242,0.0,0.0002880000000000001,16.23978378119742,5.543507529872621e-08,-0.01950487207297301,12.61561369895935,35.22869563102722,47.84431028366089,-1.509189573312142e-08,-2.1341256539741948e-10
-87.53351551273974,0.045,1000.0,0.0,17,340000,40,0.015769582241773605,0.0,0.0002872500000000001,23.79947412408841,0.0008616672232283735,-0.017456654407889256,11.205047369003296,36.65888023376465,47.86393117904663,1.4114379887075756e-08,3.5017728300390516e-11
