Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Steps,Time
436.1088011459183,0.0,500.0,0.0,500.0,1.1985995769500732
448.5043429725606,0.0,500.0,0.0,1000.0,1.1867849826812744
446.6155045816131,9999.0,500.0,0.0,1500.0,1.1984970569610596
438.18450504762046,7499.25,500.0,0.0,2000.0,1.1855299472808838
437.87816302676293,5999.4,500.0,0.0,2500.0,1.1877110004425049
395.42843642655697,4999.5,500.0,0.0,3000.0,1.2195541858673096
400.01371739413935,4285.285714285715,500.0,0.0,3500.0,1.2008171081542969
412.5417364460336,3749.625,500.0,0.0,4000.0,2.293325185775757
412.96848000348297,3333.0,500.0,0.0,4500.0,1.2006449699401855
421.63911976111706,2999.7,500.0,0.0,5000.0,1.1883742809295654
435.2831350272332,2727.0,500.0,0.0,5500.0,1.1859512329101562
419.57805161115834,2499.75,500.0,0.0,6000.0,1.2147338390350342
432.55451627182873,2307.4615384615386,500.0,0.0,6500.0,1.1890294551849365
436.99272614785,2142.6428571428573,500.0,0.0,7000.0,1.200582504272461
443.2727970705293,3253.9333333333334,500.0,0.0,7500.0,1.2058978080749512
443.7408360312586,3050.5625,500.0,0.0,8000.0,2.2855825424194336
431.1257867542099,2871.1176470588234,500.0,0.0,8500.0,1.1986429691314697
427.6699271959147,2711.6111111111113,500.0,0.0,9000.0,1.1939976215362549
436.4781453133774,2568.8947368421054,500.0,0.0,9500.0,1.1986653804779053
434.9700745271192,2536.2,500.0,0.0,10000.0,1.2432761192321777
436.57008860122596,2840.9,500.0,0.0,10500.0,1.2166202068328857
418.61381413049355,2840.9,500.0,0.0,11000.0,1.2088818550109863
417.4271150142017,1341.05,500.0,0.0,11500.0,1.1939842700958252
419.88208958880915,1341.05,500.0,0.0,12000.0,2.3188817501068115
422.81529014257205,1341.05,500.0,0.0,12500.0,1.1956944465637207
437.8833659233529,1364.6,500.0,0.0,13000.0,1.2006769180297852
441.18907069121315,1364.6,500.0,0.0,13500.0,1.1876592636108398
439.62399714092936,1364.6,500.0,0.0,14000.0,1.1897268295288086
442.0186230939823,1364.6,500.0,0.0,14500.0,1.1957998275756836
434.1850911864787,1438.05,500.0,0.0,15000.0,1.2125003337860107
424.242489747593,1438.05,500.0,0.0,15500.0,1.2018046379089355
437.8175203422794,1438.05,500.0,0.0,16000.0,2.311650037765503
430.01479507534907,1438.05,500.0,0.0,16500.0,1.2103869915008545
431.16222415127174,1438.05,500.0,0.0,17000.0,1.20131254196167
425.6269709699848,497.45,500.0,0.0,17500.0,1.1936309337615967
425.6046085676588,497.45,500.0,0.0,18000.0,1.224970817565918
440.017458355514,497.45,500.0,0.0,18500.0,1.2128207683563232
448.5377589959256,497.45,500.0,0.0,19000.0,1.282620906829834
439.29787266376877,497.45,500.0,0.0,19500.0,1.1961100101470947
439.66892672556395,401.7,500.0,0.0,20000.0,2.3086414337158203
445.18283282395134,97.0,500.0,0.0,20500.0,1.2026231288909912
469.05491074232896,97.0,500.0,0.0,21000.0,1.2012178897857666
468.1771751149694,97.0,500.0,0.0,21500.0,1.1979293823242188
464.6028995532771,97.0,500.0,0.0,22000.0,1.196652889251709
460.86427868548424,97.0,500.0,0.0,22500.0,1.1917922496795654
462.0991355909512,73.45,500.0,0.0,23000.0,1.192415475845337
460.55293505809675,73.45,500.0,0.0,23500.0,1.1921722888946533
460.89151402517325,73.45,500.0,0.0,24000.0,2.2951500415802
462.0300215567416,73.45,500.0,0.0,24500.0,1.1990907192230225
466.74521054331854,0.0,500.0,0.0,25000.0,1.2049260139465332
468.9567014866385,0.0,500.0,0.0,25500.0,1.2025201320648193
461.07991740521504,1197.75,500.0,0.0,26000.0,1.2265636920928955
463.1092243783696,2063.15,500.0,0.0,26500.0,1.2101571559906006
454.4309903803572,2063.15,500.0,0.0,27000.0,1.1964211463928223
445.32882151617406,2063.15,500.0,0.0,27500.0,1.2032275199890137
446.44220803969677,2063.15,500.0,0.0,28000.0,2.311591625213623
448.6147876373151,2063.15,500.0,0.0,28500.0,1.1967988014221191
439.6352538840415,2063.15,500.0,0.0,29000.0,1.194885492324829
443.42438130471055,2063.15,500.0,0.0,29500.0,1.1937389373779297
446.96343948440665,2063.15,500.0,0.0,30000.0,1.1934113502502441
442.9552044152494,2063.15,500.0,0.0,30500.0,1.1930997371673584
