Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Steps
490.08607294528065,13107.0,500.0,0.0,500.0
456.2872494116902,6601.5,500.0,0.0,1000.0
454.49361262304177,4401.0,500.0,0.0,1500.0
458.5985096454154,3300.75,500.0,0.0,2000.0
456.7013288307006,2640.6,500.0,0.0,2500.0
451.73271849298334,2200.5,500.0,0.0,3000.0
458.77924374142185,1886.142857142857,500.0,0.0,3500.0
452.4058443300148,1650.375,500.0,0.0,4000.0
462.63710952280144,1467.0,500.0,0.0,4500.0
466.32372540781734,1320.3,500.0,0.0,5000.0
463.54773404865534,1200.2727272727273,500.0,0.0,5500.0
