Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-670.7391258267392,0.038438570158771404,1000.0,0.0,1,20000,0.0073680114,21.96517983090346,0.008781925701516959,-5.8865545327080326e-08,12.76503872871399,10.68593955039978,23.450979948043823,5.502700872739297e-08,1.1920929521291868e-10,0.5554343461990356,0.25250044465065,0.06482826918363571,0.15258006751537323,0.4545999765396118,1.0
-615.6560100100655,0.03500000000000001,1000.0,0.0,2,40000,0.007070369,30.892396852772706,0.0008707783508424464,-9.06437662706594e-08,12.475605010986328,10.785946369171143,23.26155424118042,9.269714240645044e-08,-2.6822089688183226e-11,0.7568575739860535,0.2596145272254944,0.03491415083408356,0.11339332163333893,0.34301644563674927,1.0
-525.2718598895989,0.0375,1000.0,0.0,3,60000,0.007136143,22.340018277866825,0.00031215661477110686,1.2699365470325574e-07,14.937456846237183,14.361239671707153,29.29870080947876,-1.300811760529541e-07,1.4007091320156206e-10,0.7242306470870972,0.2589913308620453,0.03813081234693527,0.11607536673545837,0.3576087951660156,1.0
-454.99539463343865,0.0,1000.0,0.0,4,80000,0.007463391,31.925333682746643,0.00023284058107336046,-4.7799197488984646e-08,14.939026594161987,10.387659549713135,25.32669162750244,5.197524899358541e-08,-2.607703289414509e-11,0.6530076265335083,0.25339236855506897,0.046902213245630264,0.1376662254333496,0.3880387842655182,1.0
-395.8440546166139,0.0,1000.0,0.0,5,100000,0.0074122925,25.20665619904828,0.00017144338739071943,5.392730262343548e-09,12.999642848968506,10.784025192260742,23.78367042541504,-4.577636936176077e-09,7.15255771277512e-11,0.7037497162818909,0.25099265575408936,0.040382519364356995,0.1264873892068863,0.3566504120826721,1.0
-332.35714768283026,0.0,1000.0,0.0,6,120000,0.0071237246,29.885438310416642,0.00011163968179959976,5.109608292030998e-09,12.318314552307129,10.626683712005615,22.94500231742859,-3.7193297330873065e-09,-1.0281801104961019e-10,0.7707126140594482,0.2586909532546997,0.03367013856768608,0.1166672334074974,0.33565160632133484,1.0
-285.2755360872275,0.0,1000.0,0.0,7,140000,0.0076220836,24.588246932910508,1.7090080860250696e-05,-4.622526361686141e-09,12.383161306381226,9.573373794555664,21.9565372467041,4.577636936176077e-09,4.973262426877234e-11,0.6449862122535706,0.2413480132818222,0.0480760782957077,0.14210756123065948,0.374191015958786,1.0
-229.05279673892716,0.0,1000.0,0.0,8,160000,0.0075011165,21.195522350262685,6.586709744647558e-08,3.093699874057165e-08,13.562658309936523,11.09868860244751,24.66135025024414,-2.956390332542469e-08,1.3364478967936577e-10,0.6666727662086487,0.24126863479614258,0.04499915987253189,0.15037359297275543,0.36189964413642883,1.0
-170.63906494944854,0.03500000000000001,1000.0,0.0,9,180000,0.0074824747,25.237451437324474,0.0004316743859488349,-2.1568686392470227e-08,14.168481349945068,10.09618616104126,24.264671802520752,2.2935866539341987e-08,-8.344649971014917e-11,0.6689516305923462,0.24299700558185577,0.04469309374690056,0.15127058327198029,0.3632504940032959,1.0
-108.10695475011133,0.015000000000000003,1000.0,0.0,10,200000,0.007502354,28.682488519219078,3.9110504827101236e-08,-2.425867151600869e-08,13.828179121017456,10.326719760894775,24.1549015045166,2.951622057878467e-08,-1.3047829483525675e-10,0.6849550604820251,0.24821290373802185,0.04262905567884445,0.15054820477962494,0.36237844824790955,1.0
-18.630037612287563,0.06000000000000001,1000.0,0.0,11,220000,0.007036776,29.366198483849786,0.0008623591067656953,4.710108214567299e-08,14.256233215332031,10.550998449325562,24.80723524093628,-4.901885830577157e-08,3.337859988405967e-10,0.7170745134353638,0.26069962978363037,0.03889567404985428,0.14319002628326416,0.3635600507259369,1.0
27.33407285564612,0.06000000000000001,1000.0,0.0,12,240000,0.0072191153,28.961065354316858,0.000432988786440921,1.3999640557926796e-08,13.568462610244751,11.30069637298584,24.869162559509277,-1.3828277189986693e-08,-1.8626451769865326e-10,0.7111249566078186,0.25655248761177063,0.03954923152923584,0.14273236691951752,0.3607698678970337,1.0
101.37565433989388,0.215,1000.0,0.0,13,260000,0.0076558734,27.621218593864683,0.002157269578604545,1.5035272582508696e-08,13.724017143249512,12.611778497695923,26.33579969406128,-1.2969970875076342e-08,7.510185251469181e-10,0.6741545796394348,0.2404017150402069,0.044005900621414185,0.17712223529815674,0.356597363948822,1.0
162.17336486454772,0.37499999999999994,1000.0,0.0,14,280000,0.0074800225,37.0128685884415,0.006757663278492557,1.2302398211261334e-08,15.45563268661499,10.956210136413574,26.411845445632935,-1.678466787780053e-08,4.4703482582342247e-10,0.6866769194602966,0.24290481209754944,0.04241553694009781,0.171261265873909,0.3537396192550659,1.0
238.89150190776954,0.97,1000.0,0.0,15,300000,0.007597167,52.16671778563481,0.016634439641445176,5.912781020356306e-08,13.33942723274231,13.925538539886475,27.264967918395996,-4.711151291303395e-08,4.804134423608275e-09,0.6472465395927429,0.2338584065437317,0.0477408803999424,0.21062979102134705,0.3613128364086151,1.0
158.84818819081,1.6275,1000.0,0.0,16,320000,0.0068264836,49.80219730450089,0.028985085205477514,2.4461744629888926e-08,16.329891204833984,11.012647151947021,27.34254240989685,-2.2220611128886958e-08,3.0875206835645486e-09,0.6424622535705566,0.25925180315971375,0.048454560339450836,0.17278748750686646,0.40352851152420044,1.0
270.6746088511353,2.6825,1000.0,0.0,17,340000,0.0069263964,57.54037510331269,0.03892222400309791,-1.4883279497723834e-08,13.422253370285034,11.794699907302856,25.21695613861084,1.2445450003895075e-08,-2.3841859042583735e-10,0.6305996179580688,0.26075923442840576,0.05029473453760147,0.1883907914161682,0.41350996494293213,1.0
305.9161217890178,3.285,1000.0,0.0,18,360000,0.006893782,57.611211402552904,0.04931254304684461,6.49392575269303e-08,14.324928522109985,11.61100149154663,25.935935020446777,-6.389618079083448e-08,3.40342531934823e-09,0.7029474973678589,0.26432865858078003,0.04047474265098572,0.18098190426826477,0.3760289251804352,1.0
390.99297023078725,5.11,1000.0,0.0,19,380000,0.006458263,64.55095582706913,0.10729279791829502,-3.885030963601821e-08,15.813195943832397,10.311558961868286,26.124758005142212,3.342628573932416e-08,-1.6570090854983732e-09,0.7051423192024231,0.27830028533935547,0.040223173797130585,0.1703525334596634,0.39467254281044006,1.0
474.74990084028997,7.597500000000001,1000.0,0.0,20,400000,0.007130172,64.90367982949421,0.16278830700002278,8.606910739672458e-09,13.099375247955322,11.520749568939209,24.62012767791748,-1.4591217123438582e-08,-3.0994415922691587e-09,0.6480671167373657,0.2533669173717499,0.04762005805969238,0.21041664481163025,0.39095786213874817,1.0
426.28628171003373,9.455000000000002,1000.0,0.0,21,420000,0.0068888194,72.29311552351447,0.20286745721130234,8.302927234637991e-09,13.3230140209198,11.101341962814331,24.424358129501343,-6.055831835993786e-09,-2.2590160853042107e-09,0.6481650471687317,0.26514509320259094,0.04760567098855972,0.20724762976169586,0.40907034277915955,1.0
537.4812040813376,10.985000000000001,1000.0,0.0,22,440000,0.0068128337,77.35055013037032,0.2774969104511343,-9.226799768669025e-09,13.374292373657227,12.154842376708984,25.52913737297058,2.4986267277427032e-08,1.5759468396936427e-08,0.6635923385620117,0.26973602175712585,0.0454179123044014,0.22027859091758728,0.40647849440574646,1.0
642.1900990478879,15.459999999999999,1000.0,0.0,23,460000,0.0065387017,85.64357145515976,0.3483263424769708,-4.396438413323267e-08,14.340768814086914,12.076010942459106,26.416783332824707,2.6893616222878336e-08,-9.58442658571812e-09,0.6830430030822754,0.2800074815750122,0.042868055403232574,0.23268717527389526,0.4099409878253937,1.0
718.0664299002979,17.57,1000.0,0.0,24,480000,0.0064522116,81.07310528846304,0.4450222706149338,1.842975549948278e-08,15.41722321510315,11.527580976486206,26.944807529449463,-4.386901952813105e-09,1.440048258416482e-08,0.6247614622116089,0.2803940176963806,0.05123909190297127,0.22385482490062714,0.4488016963005066,1.0
802.6125810717416,23.665,1000.0,0.0,25,500000,0.0064469106,91.99740008457451,0.5059354399894453,-8.633136872049363e-08,13.602965116500854,11.908388137817383,25.51135540008545,6.484985703991697e-08,-2.1362303925798187e-08,0.6369445323944092,0.2791215777397156,0.049297697842121124,0.2217888981103897,0.4382195472717285,1.0
858.9169302558233,23.565000000000005,1000.0,0.0,26,520000,0.006689003,83.1690511496963,0.48845414415856075,1.8978120408519317e-08,13.291702508926392,11.789809226989746,25.08151602745056,1.602172794434864e-08,3.2389163351354e-08,0.6138902306556702,0.27049311995506287,0.05306992307305336,0.2504938542842865,0.44062116742134094,1.0
902.0093986552818,35.432500000000005,1000.0,0.0,27,540000,0.006551879,101.0729729233274,0.9513153606349496,1.6689316595375203e-09,13.872759580612183,12.649377584457397,26.522141933441162,1.4114379887075756e-08,1.5449524326527353e-08,0.6618440747261047,0.2569493353366852,0.0456581674516201,0.21261943876743317,0.44350603222846985,1.0
959.6838411862784,32.30499999999999,1000.0,0.0,28,560000,0.0070924624,89.48318238470965,0.5909363645087382,2.155303846507195e-08,13.494348764419556,11.144934177398682,24.639286994934082,-9.727478378351861e-09,8.01086397217432e-09,0.605924129486084,0.23540058732032776,0.05447451397776604,0.2661978006362915,0.4320789575576782,1.0
920.3814389552319,18.267500000000002,1000.0,0.0,29,580000,0.006701135,83.24184230148413,0.3021728433810981,2.622603911817123e-09,13.30711579322815,11.882265090942383,25.189384698867798,-4.577636936176077e-09,-3.9577483512687195e-09,0.6071543097496033,0.2698650658130646,0.054253995418548584,0.2578810453414917,0.44447529315948486,1.0
947.6106790178832,16.229999999999997,1000.0,0.0,30,600000,0.0070330333,80.24730389103009,0.422184655896038,-1.9550323582251394e-09,14.66856575012207,11.862335205078125,26.53090500831604,2.6702879907247734e-09,-2.336502102906479e-09,0.5742828845977783,0.2593499720096588,0.060642652213573456,0.27980679273605347,0.4516066014766693,1.0
970.6435554797681,23.345,1000.0,0.0,31,620000,0.0059925164,95.24026748754416,0.5134988236958814,-4.768371297814156e-08,14.615974187850952,11.676963806152344,26.292941570281982,5.207061803957913e-08,1.0728836485895954e-08,0.6684021949768066,0.29030120372772217,0.04476660490036011,0.22404170036315918,0.4343210458755493,1.0
1088.4265123056316,33.1525,1000.0,0.0,32,640000,0.007291159,101.11427723100991,0.674207961578278,-3.0803679607060985e-08,15.905857801437378,12.083695411682129,27.989556789398193,1.0299682884351569e-08,-2.157688072657038e-08,0.6136379837989807,0.22195836901664734,0.05311356484889984,0.3030373752117157,0.4425889253616333,1.0
1067.2614074741166,28.03,1000.0,0.0,33,660000,0.0071582845,134.61009271463772,0.44358336589518627,1.196861276753225e-08,12.699955463409424,10.948068857192993,23.648026704788208,-1.8692016823251834e-08,-4.863739189175931e-09,0.6077953577041626,0.22426077723503113,0.05413960665464401,0.2881525754928589,0.45660513639450073,1.0
933.7890405387886,11.7825,1000.0,0.0,34,680000,0.00696808,82.74056146706745,0.1332540020583921,-1.2397767257255055e-09,13.702985048294067,12.427599668502808,26.130586862564087,4.577636936176077e-09,3.3378602104505717e-09,0.5983858704566956,0.2610009014606476,0.05585566908121109,0.28396719694137573,0.4361749291419983,1.0
896.1336480390979,7.56,1000.0,0.0,35,700000,0.0067585194,79.99127978914103,0.18961286000954877,2.2983551062338847e-08,14.834089040756226,11.505443096160889,26.339534997940063,-7.2479249269008506e-09,1.757145007275085e-08,0.5924820899963379,0.262783408164978,0.05697435513138771,0.3044552803039551,0.44352951645851135,1.0
1024.0317996669862,14.162500000000003,1000.0,0.0,36,720000,0.0065498305,98.92777392393465,0.35659899701168585,1.4209748044891057e-08,14.64606523513794,12.180434226989746,26.826503038406372,-1.6593933338526767e-08,-4.5299530793130316e-10,0.6130492687225342,0.26641154289245605,0.053215619176626205,0.28127193450927734,0.43456801772117615,1.0
