Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LagragianMultiplier,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-689.8786395385061,0.0,1000.0,0.0,1,20000,40,0.010486584156751633,0.0,0.00029925,30.537935689907926,0.0023052989852808976,-0.011921097648553966,10.98439335823059,33.852906942367554,44.837302446365356,-5.41687015243042e-08,-2.6822091214739885e-09
-646.0539001316095,0.0,1000.0,0.0,2,40000,40,0.008995147421956062,0.0,0.0002985,31.0586955128202,3.134677642879214e-05,-0.011566168272787718,11.488361597061157,37.36024808883667,48.8486111164093,-8.478164659209142e-08,-3.933906533859499e-10
-623.6594115765246,0.0,1000.0,0.0,3,60000,40,0.010475452989339828,0.0,0.00029775,23.661009232861222,7.3352853775620255e-06,-0.013088510272532085,11.414701461791992,42.21582794189453,53.63053274154663,1.4333724607240583e-07,2.9236078002981003e-09
-559.9677229592565,0.0,1000.0,0.0,4,80000,40,0.010936696082353592,0.0,0.000297,23.304622403071946,5.0235509910531025e-06,-0.01332816131335867,11.141457557678223,35.804413080215454,46.94587230682373,1.2922287240257901e-08,-6.336718927357765e-10
-540.1964435433082,0.0,1000.0,0.0,5,100000,40,0.012097256258130074,0.0,0.00029625,24.666094614290127,3.4729697737964867e-06,-0.01460415033711073,11.434600114822388,37.1913788318634,48.62598180770874,2.2602081983791322e-08,1.3530254694416044e-09
-513.7344290501673,0.0,1000.0,0.0,6,120000,40,0.01303845178335905,0.0,0.0002955,17.42597233535378,2.4019742482462666e-06,-0.017012043437619462,11.250177383422852,36.444474935531616,47.69465494155884,-2.0408631229429375e-08,5.684793191740312e-10
-453.3005019306887,0.0,1000.0,0.0,7,140000,40,0.013168786652386189,0.0,0.00029475000000000004,18.88779183891928,1.6629950750707597e-06,-0.016821221152178135,11.22881817817688,38.02893614768982,49.25775623321533,-8.77380390562621e-09,-6.336718927357765e-10
-412.0735188751307,0.0,1000.0,0.0,8,160000,40,0.012904893606901169,0.0,0.00029400000000000004,15.37962827993806,1.1593389237255779e-06,-0.017553375571874225,11.318357944488525,34.67385458946228,45.99221396446228,-7.1525572131747595e-09,-2.354383354941092e-10
-367.21268389732825,0.0,1000.0,0.0,9,180000,40,0.013988867402076721,0.0,0.00029325000000000005,17.5856989256136,8.084362450984858e-07,-0.01689970044921164,11.853832483291626,38.92447018623352,50.77830696105957,-3.767013367905747e-09,8.497387238293186e-10
-352.1275190772133,0.0,1000.0,0.0,10,200000,40,0.015736283734440804,0.0,0.00029250000000000006,14.736912777621276,5.61150007480024e-07,-0.01853776727506452,12.000988245010376,32.71066093444824,44.711652517318726,9.727478378351861e-09,5.155801896528089e-10
-322.26228755313457,0.0,1000.0,0.0,11,220000,40,0.014620326459407806,0.0,0.00029175000000000007,12.804889158230678,3.9551748046501617e-07,-0.01875749721136582,12.371047735214233,41.171245098114014,53.542295694351196,1.4781951662712345e-08,-3.384426350283576e-10
-278.70818497325195,0.0,1000.0,0.0,12,240000,40,0.014905374497175217,0.0,0.0002910000000000001,13.42301259253435,2.7692174808307144e-07,-0.01907132446263905,12.0659019947052,38.02349805831909,50.08940410614014,2.1767617042200982e-08,2.4512411544996837e-10
-245.520279100246,0.04750000000000001,1000.0,0.0,13,260000,40,0.016435757279396057,0.0,0.0002902500000000001,12.661168333679248,0.0004379494542539661,-0.020594922863510525,11.957934856414795,37.452502965927124,49.41044068336487,1.8739699569891854e-08,-2.8014182640312413e-10
-199.84173756193022,0.0025,1000.0,0.0,14,280000,40,0.014736637473106384,0.0,0.0002895000000000001,12.844596627563428,1.2511454286755322e-07,-0.01846871684534493,12.357452630996704,37.91879630088806,50.27625274658203,-1.044273378880689e-08,-1.1408701761084217e-10
-170.45554819310468,0.0,1000.0,0.0,15,300000,40,0.015504048205912113,0.0,0.0002887500000000001,10.379550142728599,8.584411192592093e-08,-0.02091966450820932,11.81435227394104,35.935150384902954,47.74950551986694,6.697177923342679e-08,1.297332380412186e-10
-119.53408293719613,0.0,1000.0,0.0,16,320000,40,0.01660940796136856,0.0,0.0002880000000000001,10.217531553727047,6.044236899008714e-08,-0.021858077352736028,11.39063835144043,40.05729079246521,51.447932958602905,-9.346008411625917e-09,-3.804452586297913e-11
-85.53837176747531,0.0,1000.0,0.0,17,340000,40,0.01614140160381794,0.0,0.0002872500000000001,9.011584549041311,4.2202396586566164e-08,-0.021695237640835714,13.015836000442505,35.19805932044983,48.213897943496704,5.57899459963096e-09,-5.462206728590324e-11
-56.3742705019508,0.0,1000.0,0.0,18,360000,40,0.01685776747763157,0.0,0.00028650000000000013,10.064047280846127,3.00969185064616e-08,-0.020346942072872156,11.363954067230225,33.96355175971985,45.327508211135864,-3.466606202096045e-08,9.46223724374029e-11
-21.03682706717246,0.0,1000.0,0.0,19,380000,40,0.01748337782919407,0.0,0.00028575000000000014,10.342082713743684,2.0600789592536213e-08,-0.022024597333867257,11.078862428665161,32.96261286735535,44.04147720336914,-3.1471252270875993e-08,7.743947150196107e-11
27.426008169688714,0.0,1000.0,0.0,20,400000,40,0.01698734052479267,0.0,0.00028500000000000015,10.446428150356196,1.4392604959356155e-08,-0.02190000862142688,11.508833169937134,33.96994590759277,45.4787802696228,-2.560615541824518e-08,1.30571428669235e-10
40.89523218113726,0.0,1000.0,0.0,21,420000,40,0.01837560161948204,0.0,0.00028425000000000016,9.8813624961361,9.973269149881073e-09,-0.020973254959202804,11.086304903030396,32.7700138092041,43.85632014274597,4.396438768594635e-08,-2.4912879051375292e-11
90.51649677270065,0.0,1000.0,0.0,22,440000,40,0.017979715019464493,0.0,0.00028350000000000017,11.481207122468644,7.052280921375294e-09,-0.021904034471412925,11.569274425506592,32.530850648880005,44.100127935409546,2.38418573772492e-09,-6.493646592664604e-11
