Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-648.8618909515941,0.0,1000.0,0.0,1,20000,44,0.009770432487130165,0.00029925,35.324242084704004,0.002913419644152936,-0.011709964652229593,10.992567539215088,29.722010135650635,40.714579343795776,-1.3828277412031298e-09,-2.7418137205081905e-10
-638.5304961256647,0.0025,1000.0,0.0,2,40000,44,0.009614212438464165,0.0002985,24.88031565196495,0.0005319432595436141,-0.012197973760114436,11.24274206161499,29.41652750968933,40.65927052497864,-6.923675499592719e-08,-2.3841859042583735e-10
-602.129630634695,0.04750000000000001,1000.0,0.0,3,60000,44,0.00974656455218792,0.00029775,24.444055851913294,3.2959031082417003e-07,-0.012995840361748015,10.967068433761597,26.329020500183105,37.2960901260376,1.0261535976496816e-07,3.3797695198067856e-10
-554.0154133675575,0.0,1000.0,0.0,4,80000,44,0.010908902622759342,0.000297,21.34224631734218,2.1662098551439704e-07,-0.012314471964157959,11.267218589782715,26.746065855026245,38.0132851600647,3.776550272505119e-08,-8.717179061923375e-11
-497.04225638290063,0.04750000000000001,1000.0,0.0,5,100000,44,0.010606770403683186,0.00029625,23.44542921563424,0.0004279584442930791,-0.013811084470073709,11.499862432479858,28.113560676574707,39.61342453956604,-5.817413395448057e-08,-3.576278717609682e-10
-440.02899275270346,0.0025,1000.0,0.0,6,120000,44,0.010214685462415218,0.0002955,21.80491125556213,1.2138659719936765e-07,-0.01419314695716438,12.513813018798828,29.997292518615723,42.51110649108887,-4.673004205812958e-09,2.40281211594251e-10
-404.53448300082135,0.0,1000.0,0.0,7,140000,44,0.010793122462928295,0.00029475000000000004,18.168213207510455,8.384991500978057e-08,-0.01368839791886159,12.049083709716797,27.34220576286316,39.39129018783569,-3.7193297330873065e-09,3.5455449687304963e-10
-373.63091049833776,0.0,1000.0,0.0,8,160000,44,0.011057301424443722,0.00029400000000000004,24.009347501023317,5.800612275178065e-08,-0.01392751466288629,12.20345687866211,29.82404375076294,42.02750277519226,1.3828277189986693e-08,4.014000243302007e-11
-348.8731991947644,0.0,1000.0,0.0,9,180000,44,0.01110453438013792,0.00029325000000000005,18.13229457336136,4.169886267350238e-08,-0.014559553213283833,13.618247032165527,27.085638761520386,40.70388674736023,2.813339339269305e-09,8.726492445321199e-11
-285.0715805058248,0.0,1000.0,0.0,10,200000,44,0.013152328319847584,0.00029250000000000006,15.760835577484105,2.8160807834717543e-08,-0.01694154868972307,13.127551317214966,27.003746032714844,40.131298303604126,-2.6702879907247734e-09,-1.3778916896356463e-10
-248.4938351834954,0.0,1000.0,0.0,11,220000,44,0.012800144962966442,0.00029175000000000007,14.803225988897273,1.9710309235924022e-08,-0.01671185189440377,12.688072919845581,25.661698818206787,38.34977316856384,0.0,2.8265639828717326e-11
-211.83993922458097,0.0075000000000000015,1000.0,0.0,12,240000,44,0.01288959663361311,0.0002910000000000001,18.9144348686666,0.0004287157327361442,-0.01739163746460104,12.074620008468628,25.50139856338501,37.57602024078369,4.100799699813251e-09,-2.980232380322967e-11
-181.38835996275657,0.0425,1000.0,0.0,13,260000,44,0.01281383354216814,0.0002902500000000001,19.799578500425035,1.3833721529506244e-08,-0.015300430555891415,13.302708625793457,29.89413833618164,43.19684982299805,2.727508530142586e-08,-1.6880221179182975e-11
-136.23445985837049,0.0,1000.0,0.0,14,280000,44,0.013692114502191544,0.0002895000000000001,15.808928494349173,9.534443991002405e-09,-0.016847500985424528,13.83200478553772,27.3876473903656,41.219653606414795,4.422664545700172e-08,-9.10600622683333e-11
-78.71823334351772,0.07999999999999999,1000.0,0.0,15,300000,44,0.013520185835659504,0.0002887500000000001,20.850145206901367,0.0018925991377588816,-0.017664300235161415,11.402416467666626,26.04024052619934,37.44265818595886,1.993179310488813e-08,-3.3676625377232483e-10
-48.804341186122876,0.06999999999999999,1000.0,0.0,16,320000,44,0.013296493329107761,0.0002880000000000001,21.61331185290399,1.1483873601451526e-08,-0.017156304032023367,11.20410442352295,27.87348175048828,39.07758712768555,1.0108947456899386e-08,-6.186310491651525e-11
4.30873976450498,0.03250000000000001,1000.0,0.0,17,340000,44,0.014721868559718132,0.0002872500000000001,18.55217839768896,0.0004306529375823252,-0.01906271624560784,12.774608373641968,23.988560676574707,36.76317095756531,-5.2452087118126656e-09,-2.4735927195429497e-10
25.231044133844364,0.10250000000000001,1000.0,0.0,18,360000,44,0.014959190040826797,0.00028650000000000013,25.889965815428898,0.0020924979409323087,-0.016844674675541602,11.270637512207031,24.785032033920288,36.055670976638794,7.534026735811494e-09,1.4007091320156206e-10
101.75277357411485,0.1425,1000.0,0.0,19,380000,44,0.01390570867806673,0.00028575000000000014,23.08404717428912,0.0008697916911437331,-0.019276159145298358,12.507878065109253,26.36199450492859,38.86987376213074,2.7704238902970246e-08,-1.192092865393013e-11
128.06542515178148,0.09999999999999998,1000.0,0.0,20,400000,44,0.014097857289016247,0.00028500000000000015,26.493050602966676,0.0012969869397704587,-0.017816524683782923,11.908120155334473,26.68914484977722,38.597267866134644,-8.678436103082277e-08,2.10106376741237e-10
170.86817554136616,0.19750000000000006,1000.0,0.0,21,420000,44,0.01687397062778473,0.00028425000000000016,21.223086870443698,0.001724714924708831,-0.01981956516635675,11.336226224899292,24.27373695373535,35.60996413230896,-2.570152268788206e-08,5.960464326965065e-12
188.622023227706,0.1825,1000.0,0.0,22,440000,44,0.014666195958852768,0.00028350000000000017,29.630485312436612,0.0017244008014999158,-0.017259231305231583,11.740088939666748,25.643079042434692,37.38317060470581,-2.4223327343975143e-08,-3.024935857354194e-10
294.50414262420543,0.15500000000000003,1000.0,0.0,23,460000,44,0.014407430775463581,0.0002827500000000002,36.35790591574648,0.0012872231068763566,-0.018856323657682493,11.25382924079895,29.8967444896698,41.150574922561646,-8.630753001170888e-09,3.740191489853828e-10
364.5673367211065,0.565,1000.0,0.0,24,480000,44,0.01451895758509636,0.0002820000000000002,36.514247823776664,0.011545793908157112,-0.01755271507144431,12.943012237548828,25.090618133544922,38.033631801605225,1.6212464259979242e-08,-1.00135799652179e-09
478.47653727981185,1.0400000000000003,1000.0,0.0,25,500000,44,0.015339422971010208,0.0002812500000000002,44.70202128632022,0.013701300277767938,-0.018369174088561487,12.635785579681396,26.49405598640442,39.12984251976013,6.036758293248567e-08,1.591443976600715e-09
417.1838716106264,0.9274999999999999,1000.0,0.0,26,520000,44,0.016769159585237503,0.0002805000000000002,38.01909406824408,0.017893180624665335,-0.01873217473336805,11.770096063613892,28.283143758773804,40.05324149131775,1.044273378880689e-08,4.053115898461357e-10
527.5023043879401,2.1675,1000.0,0.0,27,540000,44,0.01616513915359974,0.0002797500000000002,47.74560944257589,0.04694356721966828,-0.019626822739136775,11.153352975845337,25.151422023773193,36.30477595329285,2.07901003079769e-08,-1.1086463969078864e-09
594.8232855709057,1.9025000000000003,1000.0,0.0,28,560000,44,0.015323258936405182,0.0002790000000000002,50.845081063216796,0.025961342846737748,-0.017121536717062895,12.317386627197266,27.961321353912354,40.27870988845825,5.359649790648291e-08,9.059906158626063e-10
632.9738920115858,1.7150000000000003,1000.0,0.0,29,580000,44,0.01663265936076641,0.00027825000000000023,46.43385872604932,0.0269024511341057,-0.018034002069952943,12.592963218688965,27.75681734085083,40.349783420562744,2.632141082870021e-08,2.7418136649970393e-09
632.678752647237,2.5599999999999996,1000.0,0.0,30,600000,44,0.01511639729142189,0.00027750000000000024,51.093958598423335,0.05342337123317412,-0.017917590650986512,11.308553218841553,27.283252954483032,38.59180760383606,1.1444092340440193e-09,-1.4662742131577033e-09
670.7111846877559,3.3899999999999997,1000.0,0.0,31,620000,44,0.01622736267745495,0.00027675000000000025,54.84365779922801,0.06391754642467071,-0.017330877352677396,12.013962030410767,25.902678966522217,37.91664218902588,-2.9945372403972215e-08,-5.698204130766271e-09
788.5233279581732,5.117500000000001,1000.0,0.0,32,640000,44,0.01616395078599453,0.00027600000000000026,55.46444250168268,0.1257496560423799,-0.01817573074896989,11.856884002685547,25.71587872505188,37.57276439666748,3.128051773160223e-08,-8.344650526126429e-10
818.5430857439155,5.4,1000.0,0.0,33,660000,44,0.01747838780283928,0.00027525000000000027,66.57877929795049,0.0879433504643371,-0.01796077882920063,10.877211093902588,24.313785076141357,35.190997838974,1.1825561863076928e-08,-3.027915917996893e-09
830.6621078066024,6.4,1000.0,0.0,34,680000,44,0.015922479331493378,0.0002745000000000003,57.24215906481199,0.18445851216124856,-0.017475426255125697,12.070517539978027,29.69037890434265,41.76089835166931,-2.07901003079769e-08,-7.915496702537439e-09
890.5610139015687,8.052499999999998,1000.0,0.0,35,700000,44,0.015740370377898216,0.0002737500000000003,60.239134571220305,0.11139834927013455,-0.017065642363664032,12.36491346359253,26.866291522979736,39.23120737075806,4.558563304613017e-08,-3.8146971692576415e-10
906.3205760695294,10.134999999999998,1000.0,0.0,36,720000,44,0.016703732311725616,0.0002730000000000003,58.44146943010038,0.25788771345144,-0.017292110823706797,11.292071342468262,24.493966341018677,35.786038398742676,-1.525878978725359e-08,1.7285346487483366e-09
955.3332703409642,14.522499999999999,1000.0,0.0,37,740000,44,0.014758552424609661,0.0002722500000000003,66.05783273545453,0.2919618519273843,-0.01743823605542279,12.116369724273682,28.995378255844116,41.11175012588501,1.1444091896350983e-08,-1.3351439953623867e-09
994.9682009233906,16.270000000000003,1000.0,0.0,38,760000,44,0.014778612181544304,0.0002715000000000003,66.52709650965912,0.399201834087782,-0.017636840320468243,11.119704008102417,26.356274604797363,37.4759795665741,-4.701614386704023e-08,5.62667867853861e-09
1145.0266325728612,21.270000000000003,1000.0,0.0,39,780000,44,0.020431900396943092,0.0002707500000000003,86.12992629137906,0.43724985705352076,-0.01769756075864635,11.583987474441528,28.390650749206543,39.97463941574097,2.0599365768703137e-08,-4.768371808516747e-10
1173.4129934855068,25.982500000000005,1000.0,0.0,40,800000,44,0.01738661713898182,0.00027000000000000033,83.43650743409871,0.6004503406927213,-0.018571887405841613,12.181645154953003,26.583342790603638,38.764989137649536,3.7956237264324955e-08,1.688003514743741e-08
1264.077234189975,33.154999999999994,1000.0,0.0,41,820000,44,0.017458824440836906,0.00026925000000000034,76.99617091421428,0.8429730903910274,-0.019439187647338894,12.176315069198608,25.785953998565674,37.96226978302002,1.7356873271978657e-08,-6.341934088993639e-09
1221.7338947013118,37.025,1000.0,0.0,42,840000,44,0.016827266663312912,0.00026850000000000035,85.21571621055296,0.773516150283594,-0.017270180322686682,11.408879518508911,25.40241527557373,36.811296463012695,9.346008411625917e-09,2.0265579436795633e-08
1266.8960538477993,40.43,1000.0,0.0,43,860000,41,0.02095920778810978,0.00026775000000000036,117.70355589414092,1.1004959356457262,-0.017506706231055474,14.328604936599731,25.90010404586792,40.228710651397705,-3.128051773160223e-08,-6.294250454175199e-09
1334.89089627926,51.190000000000005,1000.0,0.0,44,880000,44,0.017873194068670273,0.00026700000000000036,100.09454190854511,1.414693750123846,-0.01713324675587798,11.45954942703247,28.47899866104126,39.93855047225952,7.2479249269008506e-09,1.3351439953623867e-09
1377.041086164048,58.657500000000006,1000.0,0.0,45,900000,44,0.017710750922560692,0.0002662500000000004,89.62014846999297,1.832297450550955,-0.018071679806825596,11.91180419921875,24.793559789657593,36.70536494255066,1.7929076889799944e-08,-1.039505015398845e-08
