Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Loss/Loss_safety,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-692.1066333659161,0.1798869828571841,1000.0,0.0,1,20000,36,0.009377995505928993,0.00029925,27.958683840298338,0.0021809436601688634,-0.010697383406181265,0.0,0.25,13.958683252334595,64.02655935287476,77.98524498939514,-1.1224746998550472e-07,1.1920929521291868e-10
-649.5204563567745,0.0,1000.0,0.0,2,40000,36,0.009386680088937283,0.0002985,27.043860070367717,7.763271978847241e-05,-0.009517356587012183,0.0,0.0,14.860402345657349,72.03065800666809,86.89106321334839,1.6212464259979242e-08,1.84774404110577e-10
-607.6705906589418,0.0,1000.0,0.0,3,60000,36,0.011354440823197365,0.00029775,26.390480189954808,3.3496322468938404e-06,-0.012295277309357686,0.0,0.0,13.631230115890503,71.73048996925354,85.36172270774841,-8.77380390562621e-09,1.974403834870131e-10
-597.2125060778213,0.0,1000.0,0.0,4,80000,36,0.012605679221451283,0.000297,26.56124523166735,2.30858162618865e-06,-0.013560600840213174,0.0,0.0,13.731441736221313,64.62730622291565,78.35875153541565,-1.0681151962899094e-08,-1.903623370047569e-10
-536.3540900577499,0.0,1000.0,0.0,5,100000,36,0.012424511834979057,0.00029625,30.268395181492707,1.61104000235337e-06,-0.014600576815595583,0.0,0.0,13.779138088226318,65.62504363059998,79.40418481826782,-5.044937267939531e-08,-4.5076012367140095e-10
-517.3460431621261,0.0,1000.0,0.0,6,120000,36,0.014668084681034088,0.0002955,22.749319034304904,1.1177371621120407e-06,-0.016446695677313047,0.0,0.0,13.736202001571655,66.30780482292175,80.04400897026062,-2.0599365768703137e-08,-1.0864809052435476e-09
-461.55910271268067,0.0,1000.0,0.0,7,140000,36,0.014858351089060307,0.00029475000000000004,22.776766716735686,7.7512538878762e-07,-0.015779374848086194,0.0,0.0,14.092031002044678,64.70345640182495,78.79549264907837,-1.2969970875076342e-08,1.0468065997359943e-10
-417.1167031566092,0.0,1000.0,0.0,8,160000,36,0.014971034601330757,0.00029400000000000004,25.90496820992174,5.395025974813906e-07,-0.01679871618494548,0.0,0.0,14.082426071166992,64.83465242385864,78.91708159446716,-7.915496702537439e-09,-1.9446015631086055e-10
-394.4052722620744,0.0,1000.0,0.0,9,180000,36,0.016248125582933426,0.00029325000000000005,18.989613595311845,3.8171342494493786e-07,-0.0188709161297478,0.0,0.0,13.533722639083862,65.9340832233429,79.46780967712402,2.8610229740877458e-09,3.584660623889846e-10
-355.6031178611131,0.0,1000.0,0.0,10,200000,36,0.015423272736370564,0.00029250000000000006,17.940593325165008,2.637060890975283e-07,-0.01738326520222875,0.0,0.0,13.742895603179932,65.43843364715576,79.18133282661438,4.1961669694501325e-09,-7.338821911284654e-11
