Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-645.7036145142064,0.05738698285718409,1000.0,0.0,1,20000,0.007093508,18.037500602576383,0.0065403971098293694,-1.2385845593598788e-07,17.684109687805176,14.994693279266357,32.67880439758301,1.2159347306806012e-07,1.835823049134433e-09,0.645038902759552,0.2618415653705597,0.048068221658468246,0.1282481700181961,0.4059314727783203,1.0
-610.0733165722893,0.015000000000000003,1000.0,0.0,2,40000,0.0073070596,24.6646166248686,0.00012988139257749993,-1.0709464426383875e-08,19.26730728149414,16.615365028381348,35.88267755508423,1.2111663671987571e-08,-5.960464326965065e-12,0.6577646732330322,0.2552841007709503,0.04622626304626465,0.1307395100593567,0.3881085515022278,1.0
-516.9277662635584,0.0,1000.0,0.0,3,60000,0.0068018273,22.953042236862668,4.818800337309356e-05,-8.280631647039627e-08,18.500362634658813,14.859209775924683,33.35958218574524,8.382797034300893e-08,-1.5273690298633902e-11,0.7485697865486145,0.273791640996933,0.03569153696298599,0.11065566539764404,0.3657529354095459,1.0
-451.7589069641902,0.0,1000.0,0.0,4,80000,0.007183047,16.850745605966846,1.1965079147568026e-09,-1.1990481496582106e-08,20.66286611557007,15.343963384628296,36.00683259963989,1.3351440841802287e-08,2.573942795014439e-11,0.6547912955284119,0.2641165256500244,0.04664704203605652,0.13222745060920715,0.40335988998413086,1.0
-390.03354966705683,0.0,1000.0,0.0,5,100000,0.0077058696,12.296680904194048,6.932202183834618e-10,-2.499915474629688e-08,15.3255934715271,16.219212770462036,31.544808387756348,2.4223327343975143e-08,-1.29395626158324e-11,0.5667693614959717,0.24388226866722107,0.06226114183664322,0.1631167083978653,0.4303022623062134,1.0
-322.4300851041833,0.0,1000.0,0.0,6,120000,0.0076290118,10.734850801783763,5.431641383660805e-10,4.973588652035232e-09,18.400721073150635,14.021324157714844,32.422048568725586,-6.866454960174906e-09,1.4493707449492188e-11,0.5552625060081482,0.2460741102695465,0.06486840546131134,0.16487447917461395,0.44316717982292175,1.0
-264.85296438204966,0.0,1000.0,0.0,7,140000,0.007914849,8.35350392244424,6.502128936119269e-10,-3.3511145858255986e-08,17.08151125907898,17.392330408096313,34.47384476661682,3.6382676427137994e-08,-1.3332464472715078e-11,0.4943825602531433,0.23855455219745636,0.08182832598686218,0.19286759197711945,0.4825300872325897,1.0
-196.22100865444844,0.0,1000.0,0.0,8,160000,0.0077892267,7.504281069518655,2.4936452651188467e-09,8.522730965410119e-09,15.554508686065674,15.275219440460205,30.829731702804565,-7.653236266946806e-09,1.1167140129275666e-11,0.5295521020889282,0.2424958050251007,0.07132019102573395,0.1909313052892685,0.45792633295059204,1.0
-139.2408354255067,0.0,1000.0,0.0,9,180000,0.008238106,7.339402634323023,3.004730007763379e-09,-2.0412429080352013e-08,18.79085087776184,15.362317085266113,34.15316987037659,1.7738342350526182e-08,-3.783497820597503e-12,0.4469052255153656,0.22464480996131897,0.10013803839683533,0.23749810457229614,0.5026676058769226,1.0
-61.64200059013292,0.03250000000000001,1000.0,0.0,10,200000,0.00766692,7.89393956129718,0.00043177958305509035,8.700639142489308e-08,16.125767469406128,15.032485723495483,31.158257246017456,-8.392333938900265e-08,-7.97212157399585e-11,0.49122580885887146,0.24527089297771454,0.08288341015577316,0.20565977692604065,0.4993038773536682,1.0
16.367331508517182,0.0175,1000.0,0.0,11,220000,0.008139718,8.025309614618873,7.188618207987784e-09,5.203711239687436e-08,19.429084539413452,13.608849048614502,33.03793716430664,-4.951953869181125e-08,-9.679933937745133e-12,0.4812546372413635,0.22669047117233276,0.08635354042053223,0.262312114238739,0.4710405766963959,1.0
89.13902392393454,0.0,1000.0,0.0,12,240000,0.008301947,8.193192734384233,7.975586322017245e-09,1.4571556050668732e-07,18.247031211853027,14.74701476097107,32.99404978752136,-1.4591216768167214e-07,-5.870242660022118e-12,0.4179370403289795,0.22184504568576813,0.1145007312297821,0.3295217454433441,0.5308097004890442,1.0
186.58488752748593,0.05750000000000001,1000.0,0.0,13,260000,0.007961027,9.942861487151712,0.0008888914258926196,-9.540021750353844e-08,16.119175672531128,14.126821517944336,30.24600124359131,9.989738458671127e-08,-4.470348397012103e-11,0.43412983417510986,0.23458825051784515,0.10611840337514877,0.3397671580314636,0.540364146232605,1.0
301.04919758739237,0.30000000000000004,1000.0,0.0,14,280000,0.0080534015,9.477195017808562,0.0038349490865822325,1.5204250303213485e-07,16.787955284118652,13.346930503845215,30.134889364242554,-1.4944076554002095e-07,-3.010034443917675e-10,0.4289777874946594,0.2272091507911682,0.10868268460035324,0.3775113523006439,0.5296525955200195,1.0
408.20573678756534,1.0500000000000003,1000.0,0.0,15,300000,0.008124825,9.639354635347987,0.012800875454911202,1.5087128701907204e-07,15.917300701141357,13.980990409851074,29.898295164108276,-1.5487671589653473e-07,-3.7074088243826964e-09,0.3849929869174957,0.23078259825706482,0.1349349021911621,0.45537474751472473,0.5994463562965393,1.0
507.7095116916407,2.5325,1000.0,0.0,16,320000,0.007781893,10.26787298257184,0.03728895381709952,-8.521676164718883e-08,19.10841417312622,14.380170583724976,33.488588094711304,7.944107238699871e-08,-3.772973933280355e-09,0.45665299892425537,0.2400205135345459,0.09590855240821838,0.3385252058506012,0.5256079435348511,1.0
597.4433096574545,5.3475,1000.0,0.0,17,340000,0.007876076,11.376951401704435,0.06444657081560155,-9.438991099841587e-08,17.069058895111084,15.80350375175476,32.87256574630737,9.174346615736795e-08,4.661083075063743e-09,0.4398324191570282,0.2382008284330368,0.10338451713323593,0.4125082790851593,0.5415719747543335,1.0
