Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Loss/Loss_safety,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-415.5032395706043,0.7362124877422638,132.95301247706698,0.0,1,20000,35,0.015855850651860237,0.00029925,270.4579704786098,0.17356697533437782,-0.023200982460660314,0.0,3.25,14.923802137374878,43.95245838165283,58.87626242637634,-8.583069188716763e-08,8.583068700218632e-10
-351.6261974787557,0.42320261437908496,120.1003267973856,0.0,2,40000,35,0.01455875113606453,0.0002985,245.24650287741343,0.062375225824703916,-0.020383821255032235,0.0,0.75,15.108397483825684,47.11609721183777,62.22449564933777,-2.056121815030565e-07,3.5524367891781594e-09
-382.14184813253837,1.0403333333333333,139.88966666666664,0.0,3,60000,35,0.01719893142580986,0.00029775,319.4003128657652,0.22499823410783196,-0.02154097931586216,0.0,5.25,14.97250247001648,47.13570189476013,62.10820531845093,-1.8692016823251834e-08,-4.291534350109316e-10
-267.47835191495744,0.8943589743589744,103.21512820512821,0.0,4,80000,35,0.020147623494267464,0.000297,438.3279206394768,0.2587268116754288,-0.023566517080271736,0.0,1.25,14.864356756210327,47.55905032157898,62.42340803146362,3.671646098268866e-08,-5.865096852630813e-09
-369.13505311328964,0.6899159663865545,151.0285714285714,0.0,5,100000,23,0.02092929370701313,0.00029625,298.61385652372815,0.1858823079512854,-0.023788642748667165,0.0,6.75,16.39548945426941,33.97672986984253,50.37222075462341,1.3923645347801994e-08,1.0490417423625331e-09
-351.44053548401365,0.8561151079136691,150.56798561151078,0.0,6,120000,21,0.020784541964530945,0.0002955,399.3277816041209,0.1805787677302102,-0.021498527584462013,0.0,1.25,15.574447393417358,34.152939558029175,49.72738838195801,5.226135257885289e-08,-9.536743617033494e-10
-228.37035134384524,0.8682741116751269,103.26319796954314,0.0,7,140000,22,0.020120061933994293,0.00029475000000000004,492.55949545668335,0.3125423984658898,-0.023657131264762016,0.0,2.75,17.22916603088379,27.928720712661743,45.157888412475586,3.838539264222618e-09,2.169609158997332e-09
-183.12267114720456,0.8747011952191236,85.51892430278885,0.0,8,160000,18,0.02012559399008751,0.00029400000000000004,596.3462476991025,0.4373196020661557,-0.019759846888877646,0.0,1.5,16.12277126312256,24.681782484054565,40.80455541610718,8.678436635989328e-09,2.0146369017481902e-09
-210.56765688073827,0.8534210526315789,102.54578947368424,0.0,9,180000,16,0.02099926955997944,0.00029325000000000005,415.52134226533934,0.32473030134279746,-0.02117110824853274,0.0,0.0,14.858493089675903,19.882855892181396,34.74134969711304,7.1525572131747595e-09,9.775161791125697e-10
-194.25492765554034,0.9660714285714287,99.72525510204082,0.0,10,200000,15,0.020395826548337936,0.00029250000000000006,438.6871414444571,0.4099370427604237,-0.019549956424627948,0.0,3.25,14.973055601119995,19.444900512695312,34.417957067489624,1.6212463593845428e-09,-4.076957882404031e-09
-186.00543273513782,1.1189054726368157,99.91542288557214,0.0,11,220000,16,0.02150793932378292,0.00029175000000000007,401.96061946942024,0.4161922260256002,-0.02229053191348766,0.0,4.25,16.174559116363525,20.220484256744385,36.395044803619385,-4.863739189175931e-09,8.106231796922714e-10
-213.86808875709366,0.9835227272727273,119.38125,0.0,12,240000,10,0.02051720954477787,0.0002910000000000001,362.3334769081384,0.33045403250394917,-0.016472235713868192,0.0,7.0,14.80200743675232,12.55574369430542,27.357752084732056,-4.410743770222325e-09,-1.645088176793763e-09
-151.7105618219523,0.9517156862745096,89.42401960784312,0.0,13,260000,12,0.02114763855934143,0.0002902500000000001,358.4458040901647,0.36900551373156876,-0.01937580043529344,0.0,6.5,14.776498556137085,15.031091213226318,29.8075909614563,9.727478378351861e-09,1.287460360543946e-09
-195.76288184730174,0.9057575757575759,119.22181818181818,0.0,14,280000,9,0.020831944420933723,0.0002895000000000001,296.1929242422194,0.2951272242763045,-0.017125208489696026,0.0,8.75,14.761013746261597,11.710134029388428,26.47114849090576,7.343292196537732e-09,1.19209286886246e-09
-190.15925912059848,1.1322033898305084,120.83050847457628,0.0,15,300000,10,0.02010330557823181,0.0002887500000000001,301.2834246480046,0.38785777556510587,-0.01678867078008362,0.0,5.5,14.885349035263062,12.625361442565918,27.510711431503296,1.845359776098121e-08,-1.3351439953623867e-09
