Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Loss/Loss_safety,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-110.16115712941425,0.9006578947368421,86.68706140350875,20,400000,9,0.020937426015734673,0.00028500000000000015,221.70290922653095,0.42229651566892384,-0.017816533699213804,0.0,1.0,20.96313190460205,11.635205745697021,32.598339796066284,-1.5342235926141257e-08,1.5735626135437997e-09
-103.45693716115868,0.881151832460733,86.32905759162306,21,420000,8,0.02072591334581375,0.00028425000000000016,197.57794880638488,0.41945743689331383,-0.016623002808383358,0.0,3.5,13.823765754699707,10.103511571884155,23.927279233932495,1.9073485846288207e-10,2.884864791496966e-09
-129.2819977275883,1.098677248677249,114.49338624338624,22,440000,8,0.020447509363293648,0.00028350000000000017,175.98624468763796,0.5304379500642109,-0.015309158240827306,0.0,2.0,19.310025930404663,10.336885929107666,29.6469144821167,1.835823049134433e-08,-2.479553229406406e-09
-88.22879812733032,0.9272093023255814,83.2639534883721,23,460000,7,0.020278336480259895,0.0002827500000000002,195.5918227735038,0.3367329161649885,-0.013734971699553544,0.0,4.75,24.96340775489807,8.918600797653198,33.88201117515564,7.820129432900558e-09,3.337859988405967e-10
-132.08433744152617,0.765340909090909,133.34545454545457,24,480000,5,0.020398922264575958,0.0002820000000000002,131.95995750549122,0.2818048509641196,-0.01090886835395671,0.0,7.25,19.21522331237793,6.331802845001221,25.54702877998352,-1.0108947456899386e-08,1.9073485846288207e-10
-79.54710072497554,0.7353982300884955,83.70265486725664,25,500000,9,0.02096375823020935,0.0002812500000000002,143.6883981736535,0.24312644889118679,-0.017061904993835263,0.0,2.25,14.294306516647339,11.150137424468994,25.44444704055786,1.3875961712983553e-08,4.100799699813251e-09
-106.91537398640466,0.7032544378698224,119.28727810650886,26,520000,5,0.02036866545677185,0.0002805000000000002,132.293158592736,0.207127382701483,-0.01119376244514395,0.0,1.75,17.362701416015625,6.413785457611084,23.776488780975342,-2.1934509764065524e-09,1.9788741756343597e-09
-72.21644045974016,0.926431718061674,88.45748898678413,27,540000,7,0.02210731990635395,0.0002797500000000002,149.35165725805507,0.467022378213571,-0.01496303260720848,0.0,4.75,18.98261594772339,9.137332916259766,28.11995029449463,-3.862381081631838e-09,-1.6689301052252858e-09
-58.4262800406681,0.9147773279352227,77.43542510121458,28,560000,6,0.020886510610580444,0.0002790000000000002,115.59761134301004,0.4865799713820314,-0.01321638818208874,0.0,4.5,21.704253911972046,7.662170171737671,29.366427421569824,3.528594971768939e-09,-1.1086463969078864e-09
-57.99441581784585,0.9266129032258064,83.48124999999999,29,580000,8,0.021722223609685898,0.00027825000000000023,122.03203331243496,0.43875508592984735,-0.015256918160789334,0.0,5.25,23.055733919143677,10.268640995025635,33.3243772983551,2.002716037452501e-08,1.5258788677030566e-09
-61.69832126547697,0.7590243902439026,94.82121951219511,30,600000,1,0.0207351241260767,0.00027750000000000024,98.9988280469998,0.3053342307123323,0.0027491419692151843,0.0,7.25,21.748919248580933,1.2846779823303223,23.033599138259888,1.5258788677030566e-09,1.7642974858844696e-09
-60.70581731160514,1.075,94.15357142857144,31,620000,5,0.021588623523712158,0.00027675000000000025,108.49578030985384,0.46365459980056306,-0.00984099719155663,0.0,5.0,19.229663610458374,6.35614800453186,25.585814476013184,6.1988831845383174e-09,-2.6702879907247734e-09
-38.68294520219263,0.8708333333333332,68.76510416666666,32,640000,5,0.02138177864253521,0.00027600000000000026,97.65116334860318,0.41570317267229,-0.010498160166820637,0.0,2.75,25.2769193649292,6.314398288726807,31.59131932258606,4.577636936176077e-09,2.0503998499066256e-09
-34.287048734789664,0.8351398601398602,69.04632867132867,33,660000,1,0.020339667797088623,0.00027525000000000027,86.58034962053878,0.5034805863095929,0.003265250753908873,0.0,3.5,15.730144739151001,1.297515630722046,17.02766227722168,-2.069473303834002e-08,-7.15255771277512e-11
-37.40816307652036,0.7202334630350194,78.14824902723737,34,680000,3,0.020575303584337234,0.0002745000000000003,78.00447002488076,0.34354307264073713,-0.0051192861904327674,0.0,1.0,23.02103066444397,3.8053035736083984,26.82633662223816,-1.3351439953623867e-09,1.192092865393013e-11
-33.977238409883675,0.7652263374485597,79.21172839506171,35,700000,2,0.02041432447731495,0.0002737500000000003,66.082404883144,0.35293910190010797,-0.0012067267284416163,0.0,0.0,24.279977083206177,2.5546419620513916,26.834619760513306,4.539489850685641e-08,2.3841859042583735e-10
-27.488373844335307,0.756530612244898,82.91734693877551,36,720000,3,0.024826036766171455,0.0002730000000000003,50.131797730605314,0.3537064515633451,-0.005375897810874751,0.0,8.5,22.76488733291626,3.833493232727051,26.59838318824768,7.705688176429248e-08,1.0967254882032762e-09
-22.821687473362267,0.8744000000000001,76.289,37,740000,7,0.021302759647369385,0.0002722500000000003,65.16876241160767,0.5125737577397929,-0.014581835949440652,0.0,4.25,24.530567169189453,8.844085693359375,33.374656200408936,-1.201629640235069e-08,1.6212463593845428e-09
-25.72308502947394,1.0427350427350426,92.71987179487179,38,760000,1,0.02035977691411972,0.0002715000000000003,56.7836235948264,0.4621824449219833,0.003664591299078335,0.0,9.25,20.566225051879883,1.2922537326812744,21.85848069190979,-1.125335735707722e-08,0.0
-13.711024348639691,0.7481707317073171,62.87103658536586,39,780000,4,0.020635521039366722,0.0002707500000000003,61.37677495700483,0.49782518492624783,-0.005709796413085974,0.0,6.75,27.820709466934204,5.09652042388916,32.917232036590576,1.3732909920349812e-08,1.3351439953623867e-09
-12.289839459719483,0.9009615384615384,82.31875,40,800000,5,0.02008180320262909,0.00027000000000000033,47.022846008642034,0.4557436447852431,-0.010772113042910354,0.0,1.5,17.793258666992188,6.423627138137817,24.21688747406006,-1.3017654509894783e-08,1.6689301052252858e-09
-11.629562563376075,0.8319029850746269,82.82164179104477,41,820000,7,0.02205291949212551,0.00026925000000000034,41.58068573349744,0.39251263843639317,-0.013828993277409165,0.0,1.25,30.543700695037842,9.11920976638794,39.66291260719299,-7.295608561719291e-09,0.0
-6.655910608180134,0.6331417624521073,77.44099616858237,42,840000,4,0.020993726328015327,0.00026850000000000035,42.37383944005631,0.38005096548364853,-0.006452123326927828,0.0,4.25,25.947937965393066,5.038734197616577,30.986674070358276,2.946853605578781e-08,5.245208711812666e-10
-5.708504944781541,0.9279411764705883,112.62764705882351,43,860000,4,0.02050687186419964,0.00026775000000000036,39.23460333492047,0.29299130887179947,-0.00915710429959267,0.0,6.25,21.241971492767334,5.110525369644165,26.35249900817871,-4.091262795213879e-08,-2.3841859042583735e-10
-1.1497293641078108,0.8596590909090908,117.82698863636364,44,880000,3,0.02137390337884426,0.00026700000000000036,35.448335251488245,0.40687958357004694,-0.0052961733324118,0.0,6.0,25.582271575927734,3.8141720294952393,29.396445512771606,-1.4042853990758886e-08,-1.2159347972939827e-09
5.278451320199398,0.89375,99.35072115384615,45,900000,5,0.02117559127509594,0.0002662500000000004,36.91337074121347,0.311413808093189,-0.010733241415374314,0.0,5.75,27.99098563194275,6.27803635597229,34.26902389526367,-1.9454956756703723e-08,-1.9073485846288207e-10
6.927477198310788,0.6228448275862069,76.80323275862068,46,920000,3,0.02045081928372383,0.0002655000000000004,36.04512969475077,0.35446475334743216,-0.004961797976479553,0.0,4.25,25.648306369781494,3.7783217430114746,29.426629304885864,-2.946853605578781e-08,-4.720687840631399e-09
10.530306661805788,1.0159192825112109,97.8145739910314,47,940000,4,0.020023122429847717,0.0002647500000000004,34.694910983308056,0.3128234940899399,-0.00868087527847971,0.0,4.0,26.719241619110107,5.025996446609497,31.74523949623108,-1.4042853990758886e-08,1.478195232884616e-09
14.487527078630634,0.7777559055118111,80.72854330708662,48,960000,6,0.02120995707809925,0.0002640000000000004,41.48416511497051,0.4542420499157696,-0.011799610391729318,0.0,12.0,25.974313020706177,7.6980931758880615,33.67240786552429,-3.6239624634504253e-09,-1.0967254882032762e-09
15.861549828924526,0.8377777777777778,103.68916666666667,49,980000,4,0.020181020721793175,0.0002632500000000004,36.56561899489869,0.23712088067394,-0.007749796286746026,0.0,3.0,27.473448038101196,5.0760722160339355,32.54952883720398,2.641677809833709e-08,7.152557435219364e-10
25.49043503068557,1.0873493975903614,119.13192771084339,50,1000000,3,0.020038451999425888,0.0002625000000000004,36.139336498654565,0.360808013090358,-0.004955606633763566,0.0,8.75,27.610872745513916,3.771951913833618,31.38282585144043,-1.430511542555024e-10,8.583068700218632e-10
91.1335121203753,1.8659090909090914,498.83409090909083,51,1020000,1,0.024988191202282906,0.0002617500000000004,12.543040152174978,0.038330611133108886,0.010938308148171764,0.11362331551416677,5.0,30.770129919052124,1.410620927810669,32.180752992630005,-2.9182434246877165e-08,-7.15255771277512e-11
175.6510534702945,0.47608695652173927,848.3782608695652,52,1040000,1,0.020553968846797943,0.00026100000000000044,15.500280541733812,0.01842874917573632,0.006646951958061026,0.3193125241099836,2.75,27.470897436141968,1.4167163372039795,28.88761591911316,7.724762163263676e-09,9.059906158626063e-10
217.20442538681448,0.28800000000000003,818.446,53,1060000,5,0.021438049152493477,0.00026025000000000044,15.285042889506672,0.01987536291654308,-0.009436651613241948,0.9485709087155497,1.75,26.296674013137817,6.979825496673584,33.27650213241577,-1.8882751362525596e-08,9.536742923144104e-11
246.66816064270887,0.415909090909091,873.1659090909093,54,1080000,5,0.022555220872163773,0.00025950000000000045,13.430540185386,0.005772293531023466,-0.009841389914813896,1.8373066255459771,1.25,28.152631998062134,6.952522039413452,35.105156660079956,3.604888831887365e-08,8.881091972945399e-10
240.41629614274208,0.032692307692307694,811.3576923076924,55,1100000,2,0.021277831867337227,0.00025875000000000046,17.853647457524993,0.005874769707484105,-0.00032785492830168897,2.5576718497200135,0.0,27.608521461486816,2.7920074462890625,30.400530576705933,-2.4509429152885787e-08,-4.1127204419844077e-10
282.9442804141688,0.07692307692307693,817.426923076923,56,1120000,2,0.020211949944496155,0.00025800000000000047,16.770731293736173,0.005488294302471006,-0.002183408484594843,3.2895199464152034,0.0,26.881473302841187,2.832400321960449,29.713876008987427,6.408691177739456e-08,6.675719976811934e-10
284.6143109791444,0.17884615384615385,749.051923076923,57,1140000,5,0.020128076896071434,0.0002572500000000005,15.601719286799812,0.04088130773390277,-0.008465517739268442,4.4099700641327395,2.25,26.050355195999146,6.990197420120239,33.04055380821228,8.373260840244257e-08,3.4570693530078245e-10
360.81421569645073,1.1,881.1595238095238,58,1160000,3,0.02098453789949417,0.0002565000000000005,16.607697101446767,0.011830293410284102,-0.0032733777186836296,5.470353199143252,5.25,30.794803380966187,4.214450836181641,35.00925612449646,-4.215240423377509e-08,-3.57627885638756e-11
382.40245718174594,0.37826086956521743,889.9369565217389,59,1180000,3,0.020388219505548477,0.0002557500000000005,16.235178226353135,0.011757824891911376,-0.004007257785473547,6.68210615619176,2.0,29.557596683502197,4.225759029388428,33.78335762023926,-5.4466724463964056e-08,-1.6093254506799326e-10
403.46616890284406,0.481818181818182,901.8022727272728,60,1200000,4,0.020951511338353157,0.0002550000000000005,17.152514335446465,0.008114853812619291,-0.005839995466717206,8.104818239760474,2.75,28.002049684524536,5.608993768692017,33.611045360565186,-1.6403198799253005e-08,-8.642673382519561e-11
