Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-480.0881876422585,0.8848009734173108,150.70042307491403,0.0,1,20000,43,0.009799642488360405,0.00029925,1047.2729168056144,0.2706655141773305,0.6101265506934587,18.405376195907593,43.328773498535156,61.734153032302856,-2.0980834847250662e-09,2.5272368642248466e-09
-491.6044668143523,1.0779069767441862,162.7174418604651,0.0,2,40000,43,0.008197520859539509,0.0002985,667.2359663699702,0.27329877432033284,0.1861195428407136,18.649163484573364,48.83571434020996,67.48487877845764,-2.861023085110048e-10,6.961822673900997e-09
-449.28225748215493,1.0107692307692309,155.71153846153845,0.0,3,60000,43,0.007756666745990515,0.00029775,654.3926212736393,0.22205684274930726,0.08343220497717303,17.922775983810425,40.086403608322144,58.009180784225464,5.130767988248408e-08,2.574920721087892e-09
-329.06361357209596,1.1481481481481481,118.01913580246912,0.0,4,80000,43,0.007841543294489384,0.000297,746.782923444917,0.31128685757044067,0.04448563006856227,17.216964721679688,44.74598169326782,61.962947845458984,1.7023086940071153e-08,3.4093856626782326e-09
-306.97861706162774,0.8286585365853657,112.47103658536585,0.0,5,100000,43,0.007179267704486847,0.00029625,791.7878163730463,0.2638773661987428,0.022811612072706437,17.91153597831726,48.54792785644531,66.45946598052979,-3.585815377959989e-08,4.291534350109316e-10
-347.30499258025185,1.0038690476190475,128.62261904761903,0.0,6,120000,43,0.007869669236242771,0.0002955,838.9015897133787,0.2963735522778553,0.02179098827939169,16.832207679748535,48.25628066062927,65.08849048614502,-1.9550324026340604e-08,-3.2424927187690855e-09
-374.57703264167577,1.070469798657718,139.72080536912753,0.0,7,140000,43,0.007681258488446474,0.00029475000000000004,867.193715075026,0.29045358407131566,0.004563713559727597,17.50632619857788,42.208332538604736,59.714659690856934,3.852844088214624e-08,2.479553229406406e-09
-270.0763779103886,0.9869565217391304,104.63179347826087,0.0,8,160000,43,0.008143800310790539,0.00029400000000000004,871.8245915549624,0.3036952065312146,0.0022978506352306113,18.580025672912598,46.53634738922119,65.116375207901,3.862380992813996e-08,-1.0490417423625331e-09
-294.39655454857007,0.7534883720930234,117.00203488372092,0.0,9,180000,43,0.007718547713011503,0.00029325000000000005,843.2255747977306,0.23689506772092978,0.00023248022188335736,18.251985788345337,40.233307123184204,58.48529386520386,-5.149841442175784e-09,-8.583068700218632e-10
-270.40414892643014,0.7103351955307263,106.92765363128491,0.0,10,200000,43,0.00801773089915514,0.00029250000000000006,849.3765894294943,0.27466982191393996,-0.003244972061049873,16.953838109970093,43.13331174850464,60.08715224266052,3.499984657651112e-08,-9.536742923144104e-11
-264.35718244866024,0.9211055276381909,106.24949748743718,0.0,11,220000,43,0.008555583655834198,0.00029175000000000007,848.861941486097,0.3370528086046103,-0.005954426351738921,18.299442052841187,39.51780724525452,57.81725096702576,4.215240423377509e-08,-1.3351439953623867e-09
-287.79603342555305,0.8781818181818182,116.96363636363637,0.0,12,240000,43,0.008647850714623928,0.0002910000000000001,787.3080776552611,0.28565294939387464,-0.0013319653238057169,17.301064491271973,52.67461347579956,69.97567915916443,-2.39372255350645e-08,-2.38418573772492e-09
-225.99919106390394,0.9684579439252335,91.4053738317757,0.0,13,260000,43,0.009039183147251606,0.0002902500000000001,806.8637427419012,0.32846842041090546,-0.010863775594945705,17.41054654121399,42.717092514038086,60.12764120101929,1.0490417423625331e-08,-1.7642974858844696e-09
-264.620657089847,1.060362694300518,110.68678756476683,0.0,14,280000,43,0.008698174729943275,0.0002895000000000001,787.1484285881844,0.33220661926794165,-0.00831197765629085,17.575303077697754,42.509233713150024,60.084537744522095,2.4318695945879654e-09,1.8835066839528736e-09
-261.6776478141683,1.0202941176470588,109.41058823529411,0.0,15,300000,43,0.010066702961921692,0.0002887500000000001,770.3106891855549,0.31786477576073807,-0.005759480758912835,17.51735281944275,45.37804651260376,62.89540195465088,-3.738403364650367e-08,-2.1934509764065524e-09
-307.5996571758248,1.014792899408284,126.89112426035504,0.0,16,320000,43,0.00929433573037386,0.0002880000000000001,770.9389575040793,0.3673967879714073,-0.0018565485044608695,17.50410270690918,43.91630506515503,61.420409202575684,-5.912780931538464e-09,7.867813067718998e-10
-228.83626096344545,0.8104761904761905,95.48904761904762,0.0,17,340000,43,0.009264965541660786,0.0002872500000000001,784.8836124881702,0.29078046524826484,-0.005622902924318578,18.085681915283203,45.137261152267456,63.222944259643555,-4.625320570994518e-09,-1.8596648665436533e-09
-257.8084106533556,1.0383783783783784,107.8237837837838,0.0,18,360000,43,0.009636982344090939,0.00028650000000000013,767.3102843088369,0.34029763525755996,-0.011491958324640906,18.95154905319214,43.73796081542969,62.68951201438904,1.4495849853801701e-08,-2.813339339269305e-09
-219.333037357297,1.0767156862745098,93.5860294117647,0.0,19,380000,43,0.0099234813824296,0.00028575000000000014,760.2199325044961,0.39334006943982036,-0.0023151404855384643,16.810104370117188,40.48556923866272,57.2956748008728,2.336502102906479e-09,-7.15255771277512e-11
-241.02694061506276,1.039516129032258,103.94489247311827,0.0,20,400000,43,0.009501652792096138,0.00028500000000000015,735.4306471731721,0.31909986400155943,-0.009467404223194422,17.787660360336304,44.27569007873535,62.06335163116455,-1.9073485846288207e-10,-1.3113021779531664e-09
-296.0329512328351,1.1355345911949686,129.7059748427673,0.0,21,420000,43,0.009845195338129997,0.00028425000000000016,702.9607617431856,0.3054467658672678,-0.0034066239984781163,17.581229209899902,48.643343448638916,66.22457385063171,9.53674295089968e-09,-1.931190540815919e-09
-258.2173923515616,1.0160427807486632,112.25935828877006,0.0,22,440000,43,0.010366090573370457,0.00028350000000000017,724.1061592809516,0.38949278780238084,-0.00432386344019351,18.108655214309692,43.255815744400024,61.36447286605835,-1.0490417423625331e-09,1.5258788677030566e-09
