Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-357.122102217664,0.6676384530731946,114.92626823053848,0.0,1,20000,35,0.01601935364305973,0.00029925,256.93166991790537,0.1673986339488499,-0.022799199007856197,0.0,14.862164974212646,46.68381595611572,61.54598331451416,-1.7027855392370839e-07,5.531310964812519e-09
-314.2836391217668,0.9758241758241759,108.67252747252748,0.0,2,40000,35,0.015626173466444016,0.0002985,268.09102114246946,0.27818035120777834,-0.02035880585998936,0.0,14.87464714050293,48.37735652923584,63.252004623413086,2.6130676289426447e-08,-3.814697446813398e-09
-310.0537667155052,0.8328729281767956,111.94088397790053,0.0,3,60000,35,0.01804521307349205,0.00029775,362.4582900025974,0.2863830742305922,-0.023085527205482695,0.0,16.200994729995728,48.73091244697571,64.93190789222717,-1.2588500908350397e-08,-1.1205673056124965e-09
-323.5934243804663,0.7206081081081082,124.44527027027026,0.0,4,80000,33,0.021125594154000282,0.000297,343.2484477136682,0.1657657779618681,-0.025010430345041985,0.0,16.052989959716797,42.49642610549927,58.54941749572754,-2.6607512637610853e-08,-1.5020370502938363e-09
-290.50823734843163,0.6745762711864407,114.55536723163841,0.0,5,100000,29,0.02066972851753235,0.00029625,450.3566862288926,0.22436580281091922,-0.025248930049375333,0.0,15.914918661117554,42.580769062042236,58.49568843841553,-5.054473728449693e-09,-9.536743617033494e-10
-235.74583955754736,0.8390186915887851,99.67056074766356,0.0,6,120000,26,0.02023746445775032,0.0002955,495.3089485534083,0.27126353873000825,-0.025284277414508224,0.0,16.047165870666504,35.66360569000244,51.71077275276184,8.535384843355587e-09,-1.00135799652179e-09
-192.20110107138132,0.8446188340807175,83.89349775784753,0.0,7,140000,20,0.020376184955239296,0.00029475000000000004,523.9824530385173,0.30193337960281785,-0.02376405111124989,0.0,15.09336543083191,25.649338960647583,40.74270582199097,1.239776614703203e-09,-2.551078903678672e-09
-353.884159692473,0.8444,159.25959999999998,0.0,8,160000,15,0.022599611431360245,0.00029400000000000004,331.20218712884906,0.16164443591694894,-0.022164041898560465,0.0,16.113123655319214,20.094217538833618,36.20734214782715,-1.3732909920349812e-08,-2.0980834847250662e-09
-263.4738865108794,0.9612716763005777,123.8950867052023,0.0,9,180000,17,0.02062520571053028,0.00029325000000000005,448.017690217309,0.33219180123107234,-0.022121915542197657,0.0,15.755577564239502,21.284079551696777,37.039658069610596,-1.0204315614714687e-08,-3.862381081631838e-09
-224.12951382666571,0.6701219512195122,112.72713414634147,0.0,10,200000,12,0.020969867706298828,0.00029250000000000006,338.0997814253623,0.20811630032373407,-0.020169538619587868,0.0,16.33246612548828,15.246284484863281,31.578752040863037,6.771087690538025e-09,-2.1219253021342865e-09
-275.6386967174604,1.0097902097902096,142.12237762237766,0.0,11,220000,10,0.021386519074440002,0.00029175000000000007,341.4820721099171,0.25530384650971655,-0.018619363562623486,0.0,16.196817874908447,12.639072179794312,28.835891246795654,2.00271599304358e-09,-1.6212463593845428e-09
-166.50812564469146,0.7698689956331877,89.93689956331878,0.0,12,240000,15,0.020013131201267242,0.0002910000000000001,392.3949908141765,0.36593756792993465,-0.022160832345420226,0.0,15.179681062698364,19.680580139160156,34.86026215553284,-3.051757735406113e-09,1.4543533044530932e-09
-191.85730628707893,0.5843575418994413,107.47988826815643,0.0,13,260000,11,0.02090717852115631,0.0002902500000000001,342.6567575663562,0.20102800842998872,-0.01873057846584761,0.0,15.016179084777832,13.567400455474854,28.583580255508423,6.675720420901143e-09,5.9604643443123e-10
-165.08629079048248,0.7803738317757012,98.33971962616823,0.0,14,280000,10,0.020350631326436996,0.0002895000000000001,355.5878081592889,0.31730783269368706,-0.019413077291220236,0.0,14.820037126541138,12.776183605194092,27.596221685409546,-1.0585784693262212e-08,-1.835823049134433e-09
-146.44187743858913,0.8995495495495496,90.94031531531532,0.0,15,300000,11,0.020538534969091415,0.0002887500000000001,331.3366726408024,0.37898106192463954,-0.019158468421331124,0.0,15.37062668800354,13.753918170928955,29.12454581260681,-1.995563536638656e-08,1.4305114870438729e-09
-132.14127390738327,0.5988636363636363,86.86045454545456,0.0,16,320000,12,0.02022174932062626,0.0002880000000000001,290.33527383814476,0.18996184179360986,-0.020669298001894324,0.0,15.082533836364746,14.772489070892334,29.855024099349976,-4.00543198608716e-09,-3.6239624634504253e-09
-144.24344699802865,0.9746192893401016,97.89619289340104,0.0,17,340000,10,0.02089836820960045,0.0002872500000000001,293.28461646424313,0.3912415350439211,-0.01906210133514275,0.0,14.898064851760864,12.130919456481934,27.028985023498535,-1.528263027239518e-08,-3.1471252270875993e-09
-108.64892079937317,1.0918867924528304,78.2079245283019,0.0,18,360000,9,0.02069956623017788,0.00028650000000000013,300.07380899165935,0.6372148547933844,-0.01769384560510807,0.0,15.293814659118652,11.898086071014404,27.191901922225952,-1.7118454209708034e-08,1.835823049134433e-09
-82.38205535818095,0.8989614243323442,62.44747774480712,0.0,19,380000,8,0.02184157446026802,0.00028575000000000014,291.22094249420655,0.7497652317620457,-0.017371552229874555,0.0,14.828329086303711,10.064101457595825,24.892431259155273,2.0599365768703137e-08,4.887581006585151e-09
-97.80764392920263,0.9230923694779116,77.93192771084337,0.0,20,400000,7,0.020005768164992332,0.00028500000000000015,225.5260922681355,0.513427200167351,-0.01525089889084678,0.0,14.959492206573486,9.073441743850708,24.03293490409851,6.031990018584565e-09,-1.3589859237939095e-09
-110.7440455094207,0.9254761904761906,94.22261904761905,0.0,21,420000,9,0.02108852006494999,0.00028425000000000016,182.75391132542967,0.4244884413170781,-0.018663351673812712,0.0,15.287238121032715,12.012405633926392,27.299644947052002,-1.0824203755532835e-08,4.768371808516747e-10
-87.42859122932711,0.8508032128514056,79.54497991967872,0.0,22,440000,9,0.020632166415452957,0.00028350000000000017,181.83495416935767,0.4564494536617651,-0.01831523318092954,0.0,15.178601503372192,11.47347640991211,26.652078866958618,-2.0122527644161892e-08,2.7418137205081905e-10
