Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-660.0622687063882,0.049452897893300374,1000.0,0.0,1,20000,36,0.010368695482611656,0.00029925,25.806863484502813,0.003279097681192836,-0.011590018570857875,0.0,14.181687116622925,64.82296776771545,79.00465941429138,-8.955002073207652e-08,1.0728835597717534e-09
-611.7047912810924,0.06000000000000001,1000.0,0.0,2,40000,36,0.009303065948188305,0.0002985,28.78475200067736,1.2735588487798725e-06,-0.011450528284967247,0.0,13.98209023475647,71.30243563652039,85.28452968597412,-1.5535354691564862e-07,-4.410743714711174e-10
-562.2614829621537,0.0,1000.0,0.0,3,60000,36,0.010356140322983265,0.00029775,34.595865122087886,8.122857085985947e-07,-0.011477572321423149,0.0,13.486952543258667,66.31458854675293,79.8015444278717,6.771087690538025e-09,1.5050172219588376e-10
-525.7235340605141,0.0,1000.0,0.0,4,80000,36,0.01229868270456791,0.000297,27.717465985189484,5.610695435366449e-07,-0.014339038776155272,0.0,13.493575096130371,60.333640813827515,73.82721757888794,4.1961669694501325e-09,-4.1145831186639725e-10
-488.7049397324977,0.0,1000.0,0.0,5,100000,36,0.01364680752158165,0.00029625,24.32086248435067,3.8970309239598335e-07,-0.015258464226145449,0.0,13.88029932975769,67.74862742424011,81.62892818450928,-1.0490417423625331e-08,-3.777444468333613e-10
-476.4247812270487,0.06000000000000001,1000.0,0.0,6,120000,36,0.013040481135249138,0.0002955,21.800649234535086,0.001677557426737102,-0.014913080482140156,0.0,14.225629806518555,68.67086696624756,82.89650106430054,-4.5275687199364256e-08,-1.0430813157658037e-10
-438.7541336313261,0.04,1000.0,0.0,7,140000,36,0.01486109010875225,0.00029475000000000004,24.00425304399977,1.5763304975275795e-07,-0.017319728355946657,0.0,14.35350751876831,67.3571982383728,81.71070957183838,-5.340575981449547e-09,-4.0121375666224424e-10
-380.9108702324983,0.0,1000.0,0.0,8,160000,36,0.017320670187473297,0.00029400000000000004,16.938437456986478,1.075455319141725e-07,-0.02014035887142262,0.0,15.081228256225586,64.56971216201782,79.65094351768494,7.152557435219364e-10,2.851709701712224e-10
-353.55847331831103,0.0,1000.0,0.0,9,180000,36,0.0176797304302454,0.00029325000000000005,14.154246727921754,7.495882141508609e-08,-0.02049409614543321,0.0,14.310922861099243,69.38004684448242,83.69097208976746,-4.673004205812958e-09,2.4978072388215367e-10
-318.81957435584013,0.04250000000000001,1000.0,0.0,10,200000,36,0.016744211316108704,0.00029250000000000006,15.441273665572043,0.000416853396496363,-0.019324011424830614,0.0,14.421465158462524,65.8830885887146,80.30455708503723,3.433227480087453e-09,-1.6801059155024944e-10
-287.1793424872023,0.0075000000000000015,1000.0,0.0,11,220000,36,0.016655942425131798,0.00029175000000000007,14.671143078914042,3.7199788117482e-08,-0.018834401828938262,0.0,14.337215423583984,65.38899159431458,79.72620987892151,-8.106232129989621e-09,2.2081658723749342e-10
-211.0879197798319,0.0,1000.0,0.0,12,240000,36,0.016845526173710823,0.0002910000000000001,15.994530654647564,2.536954242075834e-08,-0.019506202419923225,0.0,14.036832571029663,60.392139196395874,74.42897391319275,3.3998489357145445e-08,-1.6244594558401104e-10
